stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,98.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.22,179.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,33.89,0,0,3.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17,0,0.82,1.15,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.15,0,0.84,0,0,0,0,0,0.95,7.36,0,3.65,2.05,1.81,0.88,0,0,1.02,1.01,0,0,1.55
 36-46,0,0,0,8.96,0,0,0.63,0,0,0.76,0,0,6.27,10.34,0,5.3,17.63,1.76,0,0,0,0,8.9,0,0,3.68
 48-58,0,0,0,1.29,0.7,0,2.15,6.34,0,0,0,0,8.67,13.12,0.4,4.22,54.02,2.76,0.67,0,0,0,5.33,0,0,7.12
 60-70,0,0,0,0.68,1,0,0,5.83,0,0,0,0,2.31,36.44,2.35,2.28,78.13,2.54,0,0,0,0,6.15,0,2.76,2.08
 72-82,0,0,0,0,2.19,4.33,0.58,2.1,0,0,0,0,0,27.59,0.63,0.52,88.41,0.73,0,0,0,0,3.57,0,1.65,6.63
 84-94,0,0,0,0,13.41,0,1.19,3.16,0,0,0.56,0,2.85,28.09,0.72,2.59,50.64,10.27,0,0,0.58,0,6.46,0.66,14.66,0
 96-106,0,0,0,0,6.65,0.74,2.44,13.68,0,0,0,0,0.68,20.84,0,6.01,40.08,2.85,1.83,0,0,0,0,0,0,2.4
108-118,0,0,0,0.61,12.68,0,0,2.89,0.67,0,0.61,0.7,1.53,14.48,3.7,1.46,55.33,4.25,1.09,0,0.47,0,1.59,2.35,0,0.79
120,0,0,0,0,0,0,11.41,0,0,0,0,0,0,28.59,0,2.2,49.05,2.7,0,0,0,0,3.29,0,0,0
