stage,eye,gut,immune,mesenchyme,neural,spinal.cord
 24-34,0,0,2.13,0,0,0
 48-58,0,0,69.28,0,0,0
 60-70,0,0,64.71,0,0,5.75
 72-82,0.59,0,52.39,0,0,0
 84-94,0,0,3.67,0,1.45,0
 96-106,0,0.72,37.11,1.72,0,0
108-118,0.78,0,4.81,0,0.95,0
120,0,0,12.06,0,0,0
