stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature
  3-4,0,93.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.9,335.67,0,0,0,0,0,0,22.99,0,0,0,0,0,0,11.66,0,29.15,6.32,0,0,0,0,0
  7-9,23.04,0,20,0,5.36,0,0,0,0,0,0,0,0,0,0,128.96,17.28,51.25,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.64,3.67,4.03,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,2.14,0,0,0,0.83,0,2.83,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,1.12,2.1,0,0,0.61,0,0,1.88,0,0
 36-46,0,0,0,0,0,0,1.4,0,0,0,0,0.57,0,0,0,4.16,0,0,0,0,0,1.46,0,0
 48-58,0,0,0,0,13.74,0,2.91,0,0,0,0,4.98,0,0.56,0,5.28,0,0,4.01,0,0,3.73,0,0
 60-70,0,0,0,0,19.68,0,1.98,0,0,0,0,0.77,0,0,0,9.65,0,0,0,0,0,6.1,0,0
 72-82,0,0,0,0,8.13,0,1.09,0,0,0,0,3.51,0,0,0,24.95,0,0,0,0,0,0,0.92,0
 84-94,0,0,0,0.7,2.98,0,0,0,0,0,0,5.03,0,0,0,4.12,0,0,0.59,0,0,0,0,0
 96-106,0,0,0,0,5.21,0,0,0,0,0,0.86,0.67,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.47,12.83,3.53,0,0,0,0,0,1.75,0,0,0.81,9.45,0,0,0,0,0.62,1.98,0,1.11
120,0,0,0,1.6,1.83,0,0,1.21,0,2.76,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0
