stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,256.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0
  5-6,194.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.79,0,0,3.86,0,0,0,0,0,0,0,0,0,0,40.11,12.95,0,0,6.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.19,0,0,0,35.57,0,0,0,0,0,0,0,0,0,0,111.68,8.54,0,0,20.68,0,0,5.55,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.52,16.81,19.01,0,16.1,0.85,0,0,1.84,1.05,8.43,0,9.17,56.74,0.94,0,7.45,4.95,0,0,0,4.02,6.64,1.07,5.09,32.3,0,0,0,3.62
 24-34,0,0.6,0,2.51,15.19,1.42,10.93,1.52,0,0.86,0,0,22.43,0,15.66,96.84,0,0,0,0,0,1.21,0,0,0,0,2.09,47.39,0,4.38,0,2.91
 36-46,0,0,1.24,0,23.14,3.91,6.12,0.56,0,0,0,0,29.76,0,7.64,44.01,0,0,0,0,0,0,0,0,0,0,0,35.85,0,1.73,0,0
 48-58,0,0,0,0,10.78,1.25,26.3,0.42,0,0.38,0,0,61.55,4.42,5.94,45.22,0,0.5,0.91,0,0,0,0,0,1.07,0,0,21.5,0.49,0.9,0,5.62
 60-70,0,0,0,0,19.57,1.88,42,0.76,1.15,0,0,0,60.55,2.62,5.3,29.06,1.83,0,1.16,0,0,0,0,0,0,0,0,16.76,0.82,0,0.64,5.31
 72-82,0,0,0,0.51,10.96,7.27,51.03,0.87,0.93,0,0,0,115.63,5.98,4.28,15.82,0,0.49,0,0,0,0,0,0,0,0,0,6.47,6.3,2.49,2.4,0
 84-94,0,0,1.3,0,16.97,3.86,47.42,2.56,0,0,0,0,92.72,2.33,2.36,19.76,0,0,5.24,0,0,0,0,0,0,0,0,3.36,1.79,5.04,7.1,0
 96-106,0,0,1.11,0,6.62,3.05,51.31,3.23,0,0,2.09,0,83.27,0,0.62,23.48,0,1.74,0,0,1.61,2.68,0,0,0,0,0,7.16,5.39,2.81,0,0
108-118,0,0,0.46,0,7.74,5.96,43.06,1.37,0,0,0,0,66.18,0,7.74,18.24,0.51,0,0.44,0,4.65,0.56,0,0,0,0,0,1.6,2.25,2.29,2.82,0
120,0,0,0,0,3.87,2.17,49.37,5.85,0,8.05,0,0,74.31,0,2.81,25.62,0,0,5.79,0,0,0,0,0,0,0,0,2.98,0,14.9,0,0
