stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.54,0,0,3.23,0,0,0,0,0,396.33,0,0,0,0,0,0,0,0,0,0,0,3.99,10.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.73,0,20.07,0,0,0,0,0,0,821.91,0,0,0,0,0,0,0,0,0,0,0,32.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.76,464.07,0,0,0,0,0,2.13,42.63,4.48,0,0,0,0,0,0,25.32,0,0,4.07,24.33,0,0,0,0,2.28,0.87,0,0,0,11.44,0,0,0,0
 24-34,0,0,0,0.72,1787.42,2.41,0,0,0,0,0,0,28.42,0.62,0,0,0,2.41,6.89,49.63,0.91,0,9.89,91.67,0.99,0,0.64,0,2.44,0,3.46,0,1.25,13.69,0,0,4.47,0
 36-46,0,0,0,0,725.55,0,0,0,0,0,0,0,13.44,0,0,0,0,0,0,12.48,0,0,0.64,53.04,0,0,0,1.01,0.74,0,4.52,3,0,4.44,0,2.54,4.58,0
 48-58,0,0,0,0.82,980.29,16.67,0,0,0,0.91,0,0,10.29,0,0,0,0,0,0,5.9,0,0,1.33,52.16,0,0,0,0,1.56,0,0,0,0,12.57,0,0,1.31,2.67
 60-70,0,0,0,7.84,890.25,54.25,0,0,0,2.52,1.55,0,3.62,3.11,0,0,0,0.81,0,9.87,0,0,6.56,56.19,0,0,0,0,1.1,0,1.08,0,0,11.22,0,3,0.6,6.54
 72-82,0,0,0,0.53,1128.41,39.22,1.43,0,0.75,6.63,0,0,0.75,0,0,0,0,0,0,6.31,0,1.07,0,44.18,0,0,0,0,1.12,0,1.77,0,0,5.02,2.31,0,1.09,0
 84-94,0,0,0,0.58,1061.63,26.61,0,0.75,7.83,5.66,0.68,0,1.04,2.55,2.9,2.49,1.91,0,0,17.41,0,0,0,45.62,0,0,0,0,10.95,0,2.47,0.68,0,6.13,0,0,12.16,9.28
 96-106,0,0,0,1.26,1816.88,43.03,0,0,0,0,2.64,0,4.18,1.2,0,1.85,0,0.6,0.9,14.4,0,0,0,58.5,0.64,0.59,1.42,1.05,2.69,0,0,0,0,7.41,0,0,1.49,5.54
108-118,0,0.52,0,2.76,1158.62,6.08,0,0,0,13.35,0,0,1.02,0,0.53,0,0,1.92,0,14.05,0,0,0.42,24.55,0,0,0,0.91,1.52,0,0,0,0,0,0,0,2.66,0
120,0,0,0,3.97,1777.5,12.16,0,0,0,31.56,0,0,9.56,0,0,0,0,0,0,2.19,0,0,0,51.75,0,0,0,0,0,0,0,0,0,0,0,0,22.26,0
