stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,22.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.44,5.11,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,83.98,4.5,118.44,0,2.29,0,0,0,0,0,0,0,13.4,0,0,4.47,102.27,0,0,0,0,0,0,1.06,3.6,3.01,0,0,0
 24-34,0.83,0,97.82,1.43,274.93,0,0.6,0,0,0,0,0.8,0,1.41,20.7,1.67,0,6.39,107.45,0,0.72,0,0,1.46,0,0,0.79,2.11,0,0,0
 36-46,0,1.65,87.18,4.5,274.29,0,1.19,0.99,0,0.56,0,0,1.31,0,13.21,1.77,0,4.51,69.9,0,0,0,0,0,2.6,0,0,2.06,0,0,0
 48-58,0,0,97.82,0.69,245.32,0,0,2.99,0,0,0,4,1.18,0,5.07,1.82,0,2.14,40.97,5.32,0,0,0,0.95,0,0,0,1.38,0,0,0
 60-70,0,0,49.44,0,289.21,0,0,8.32,0,0,0,25.23,0,0,1.9,0,11.31,0.83,12.78,0,0,0,0,0.86,0,0,0,0,0.92,3.52,5.7
 72-82,0,0,25.32,0,204.29,0.75,0,24.22,0.51,0,0,19.52,0,1.76,0,0.98,0,0,6.38,0,0,0.88,0,0,0,0,0,0,0,2.52,6.41
 84-94,0,0,33.4,0,196.01,0,4.97,15.96,1.59,0,0,48.01,0,0,11.26,2.32,11.3,0,11.95,0,0,0,0,0,0,0,0,0,0,0,0.92
 96-106,0,0,25.58,12.46,150.19,0,1.28,48.22,0,0,0.95,41.42,0,0,8.84,0,0,0,11.2,0,0,0,4.63,0.67,0,0,0,0,0,0,0
108-118,0,0,24.57,0,104.87,0,4.18,20.64,1.77,0,0,34.44,0,0,2.23,0,0,0,3.19,0.41,0,0,0,0.74,0,0,0,0,0.47,0,0
120,0,0,27.93,0,92.56,0,2.6,18.44,2.28,0,1.09,7.59,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0
