stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1494.97,2105.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0,0,0,0
  5-6,8212.71,18053.49,0,395.96,0,0,0,0,0,0,0,0,0,1355.05,0,0,0,0,0,0,0,0,0,0,9212.76,252.57,0,0,2189.74,0,57.96,0,0,0,0,0,0,0,0,0,0,0
  7-9,5712.7,1860.58,0,1027.91,0,5.95,0,5148.79,0,0,0,0,0,2349.22,0,0,0,0,0,0,0,0,0,0,22053.17,2857.16,0,0,37928.39,0,9.04,185.34,0,25.66,0,0,0,0,0,0,0,0
 10-12,8.69,1008.32,0,604.94,0,36.1,0,9267.82,0,0,0,0,0,54.77,0,0,0,0,0,15.95,0,0,0,0,29435.07,1766.37,0,0,20109.36,0,38.57,31.35,121.58,598.01,0,185.57,90.39,0,0,0,0,0
 14-21,0,7.79,0,3.7,219.72,172.87,0,551.27,0,0,0,91.39,2.57,0,9.23,0,0,0,1.12,0,178.74,0,0,173.54,7330.97,186.32,2.85,10.68,171.03,0,6.49,0,3913.29,5.28,6.55,1699.01,3476.21,0,0,84.66,0,0
 24-34,0,0,0.66,2.91,105.48,30.99,0,191.53,0,0,6.35,73.45,7.35,0,25.03,0.6,0.63,0,3.14,4.62,375.46,0,0,142.29,5319.03,10.88,1.61,64.85,0,2.91,2.71,0,21.9,4.87,0.99,260.36,1374.74,0,0,646,0,0
 36-46,0,0,0,0,61.83,4.5,0,214.71,0,11.97,7.84,168.21,0,0,33.46,0.58,0,1.32,1.3,0,494.16,0.75,3.4,74.37,3991.8,4.57,1.07,42.9,0,1.94,47.98,0,0,2.18,0,0.83,1272.35,0,6.33,543.96,1.55,4.68
 48-58,0,0,0,0,42.35,15.81,0,597.27,0,14.57,5.74,290.8,0.92,0,43.25,8.5,0,0.4,1.85,0.39,804.85,0,9.67,50.35,2066.59,0,3.14,55.21,0,0,37.31,0,0,0,0,0,993.98,0,1.15,442.55,0,4.94
 60-70,0,0,0,0,24.42,14.66,0,1112.36,0,22.72,9.58,243.4,0,0,51.57,7.78,0.61,3.16,1.85,0,1650.64,3.25,28.66,32.34,1198.78,0,0,39.63,0,4.46,16.64,0,0,1.18,0,0,340.03,0,35.79,426.89,11.19,0
 72-82,0,0,0,0,31.73,13.32,0,1199.22,1.01,7.94,3.99,263.33,3.1,0,65.48,1.17,0,0,9.55,0,2259.54,0,61.64,90.01,848.26,0.85,1.33,57.4,0,28.45,13.38,0,0,7.53,0,0,78,0.87,28.42,787.13,39.39,0
 84-94,0,0,1.55,0,39.73,8.84,0,1065.69,0.76,14.18,5.9,210.17,1.27,0,62.65,2.09,2.59,2.01,5.41,6.45,1832.14,0,69.96,48.38,534.2,0,0,63.77,0,20.31,23.83,0,0,0.67,0,0,87.22,1.53,27.71,770.19,71.92,0
 96-106,0,0,0,0,22.64,59.66,0.98,1106.41,0,6.01,3.42,214.34,0.97,0,80.58,6.59,2.56,3.84,10.32,5.66,1524.71,0.69,30.13,50.62,473.78,0.64,0,78.61,0,23.58,18.31,0,0,5.35,0,0,37.42,0.61,25.52,815.31,41.03,2.21
108-118,0,0,0,0,37.07,6.19,0,808.03,0,6.07,3.74,224.24,0,0,34.07,0.42,1.1,4.05,10.16,3.4,1447.54,0,28.99,37.72,519.39,0.5,2.72,59.81,0,36.83,4.69,0,0,1.98,0,0,23.92,2.54,28.62,767.32,34.15,0
120,0,0,0,0,19.12,0,13,674.51,0,4.89,5.4,287.86,2.74,5.2,87.54,0,6.91,0,2.6,0,1366.86,0,71.38,20.43,593.57,0,0,67.64,0,12.2,6.79,2.5,0,0,0,0,26.48,0,41.28,975.63,59.4,0
