stage,eye,glial,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  7-9,3.3,0,0,0,0,8.66,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,53.27,3.14,0,4.22,0,0,0,0
 14-21,0.82,0,0,0.9,0,1.17,0,0,0,2.15,0,0,0
 24-34,0,0,0,0,0.78,1.75,0,0,0,0,0,0,0
 36-46,0.7,1.47,1.28,0,0,0,0.64,0,0,0,0.87,0,0
 48-58,0.63,0,0,0,0.57,1.71,0,0,0,0,0,0,0
 72-82,1.25,1.57,0,0,0,0,0,0.9,0,0,0,2.26,0
 84-94,0.71,0,0,0,0,3.12,0,0,0,0,0,0,9.81
 96-106,0,0,0,0,0,5.56,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.62,0,0,0,0,0,0,0
120,0,0,0,0,0,6.82,0,0,0,0,0,0,0
