stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.21,15.51,0,0,0,0,0,0,0,0,0,0,1185.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.28,31.62,0,41.09,0,0,63.39,0,0,0,0,0,48925.41,0,0,0,0,0,0,0,0,0,0,0,297.57,102.12,0,0,111.02,0,9.39,0,0,0,0,0,0,0
 10-12,0,76.94,0,382.87,0,28.66,114.43,0,0,0,0,0,110878.27,0,0,0,0,0,0,0,0,0,0,0,3779.77,175.75,0,0,1081.62,18.26,16.55,8.95,189.36,0,25.7,5.09,0,0
 14-21,67.27,8.65,3.2,28.88,609.83,125.59,179.76,0,4.63,0,60.77,14.54,109233.56,12.08,14.03,22.04,0,0,25.67,12.42,170.82,1.16,0,144.99,3688.65,196.87,8.52,38.02,128.44,158.82,1.23,459.85,19.56,124.3,618,1158.94,23.65,12.02
 24-34,0,0,2,3.51,184.7,25.41,272.72,0.75,15.68,2.13,67.18,4.21,31354.81,23.96,11.36,16.28,5.52,3.6,71.39,20.19,218.43,7.06,0,142.56,3031.18,70.2,21.62,18.1,0,185.02,0,0,11.09,119.01,71.69,596.55,157.76,20.4
 36-46,0,0,0.85,0,4.28,7.25,53.13,0,4.88,0.82,3.23,0,5098.59,1.61,1.77,2.55,0,0,2.58,0,70.31,2.02,1.12,13.35,644.96,0.56,3.73,3.27,0,41.96,0,0,1.03,0,0,80.01,14.68,9.31
 48-58,0,0,0,0,0,0.45,14.52,0,0,1.48,3.27,0,1162.01,0.89,0,0,0.51,0,0,0,6.48,0,0.71,0,51.05,0,0,0,0,9.51,0,0,0,0,0,16.93,0,0
 60-70,0,0,0,0,0,0,0.86,0,0,0,0,0,22.16,0,0,0,0.81,0,0,0,0.63,0,1.3,0,22.79,0,0,0,0,2.88,0,0,0,0,0,3.38,0,3.17
 72-82,0,0,0,0,0,0,0.6,0,0,0,0,0,4.76,0,0,0,0.93,0,0.76,0,8.92,0,0,0,11.72,0,0,0,0,2.89,0,0,0,0,0,0,0,0
 84-94,0,0,0,1,0,0,3.09,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,0,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,35.71,0,0,0,8.09,0,0,0.65,0,0,0,0,0,0,0,0,0,9.61
108-118,0,0,0,0.61,0,3.14,7.87,0,0.49,0,2.51,2.17,0,0,0,0,1.24,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,11.44,0,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
