stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.25,0,0,8,0,0,2.21,0,0,0,0,0.85,0.83,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.11,10.68,0,1.09,0.81,0,0,8.46,0,0,1.1
 36-46,0,0,0,3.6,1.75,0,0,0,0.79,1.42,0,1.3,65.36,0.91,0,1.03,0,0,9.5,0,0,0
 48-58,0,1.29,0,8.47,0,0,10.22,0,0,7.4,0,0.82,59.3,0,0,0,0,0,11.21,0,0,0
 60-70,0,0,0,18.13,0,0,10.76,0.92,0,0,0,0,50.58,0,0,0,0,0,7.35,0,0,0
 72-82,0,0.5,0.51,17.58,0,0,0.57,1.44,0,5.98,1.46,0,30.27,1.11,0,0.57,0,0,0,0.9,0,0
 84-94,0,0,0,2.46,0,1.27,3.9,1.39,0,4.97,0,1.11,32.38,0,0,0,1.9,0,0,6.09,0,0
 96-106,0,0,0,5.93,0,0,3.36,4.58,0,5.85,1.06,0,20.87,0,0,0,0,0,0,0,0,0
108-118,0,0,4.22,3.26,0,0,3.11,6.86,0,1.68,0,1.18,30.47,0,0.42,0,1.35,0,0,0,0,0
120,0,5.64,0,0,0,0,8.71,8.54,0,0,0,0,59.46,0,0,2.57,1.66,0,1.64,3.14,2.54,0
