stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0.89,0,0,0,0,0
 24-34,0,0.6,0,0,0,0.63,0,0,0,0,0,0,0,0,1.85,0,6.88,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,2.59,0,14.46,0.9,0,0,0,0
 48-58,0,0,0,1.62,0,0.38,0,0,0,0,0.37,0,0,0,2.14,0,13.61,1.08,0,0,0,0
 60-70,0,0,0,3.06,2.03,0,0,0,0,0,0,0,0,0,15.11,0,83.54,0,0,0,0,0
 72-82,0,1.07,0,9.64,5.61,5.86,0,0,0,0,2.14,1.98,0,0,26.51,0,214.74,0,0,0,0.96,1.68
 84-94,0,2.5,0,9.87,6.47,1.18,0,0,0,3.56,4.43,0,0,0,9.95,0,579.79,3.2,0,1.42,0,0
 96-106,0,2.81,7.29,21.29,6.58,3.33,1.81,0,0,10.93,10.73,10.34,0,1.12,36.47,0,1144.11,0,0,2.58,1.67,0
108-118,0,5.49,0,9.36,5.62,3.78,0,0,2.22,11.6,2.05,2.53,4.32,0,16.05,0.61,708.79,10.68,1.35,1.29,0,1.19
120,0,1.27,14.48,7.27,13.52,0,0,0,0,9.51,2.81,1.06,0,10.55,5.09,0,581.17,0,0,0,0,0
