stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,0,56.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0
  5-6,8.71,88.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,0,0,0,0,0
  7-9,6.52,0,0,0,0,20.83,0,0,0,0,0,0,0,0,0,120.67,0,8.05,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.27,0,9.65,0,0,0,0,0
 14-21,0,0,1,0.84,0,0,0,1.1,0,0,0,2.61,0,0,0,8.05,0,0,0,0.96,0.92,0.88,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0.83,2.87,3.29,0,0,0,0,0.86,0
 36-46,0,0,0,0,0,0.58,0.61,0,0,5.83,0,0.99,1.6,0.85,0,2.47,0,0,0,0,0,0.84,0
 48-58,0,0,0,0,0,1.48,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,1.52,0
 60-70,0,0,0,0,0,0,0,0,0,19.73,0,1.45,0,0,0,1.23,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.89,0,0,0,0,38.76,0,1.55,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.96,0,0,0,58.48,0,0.95,0,0,0,8.55,0,0,0,0,0,0,2.38
 96-106,0,0,0,0,5.76,0,0,0,0.64,70.81,0,4.25,0,0,0,2.86,0,0,0,0,0,0,0
108-118,0,0,0,0.78,0.87,0,0,0,0,62.21,0,0.86,0,0,0,1.91,0,0,0,0,0,0,0.52
120,0,0,0,0,0,0,0,0,0,82.29,0,0,0,0,0,1.56,0,0,1.39,0,0,0,0
