stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.17,0,0,0,7.24,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.97,1.28,0,1.99,0,0,1.11,0,0,0,0,0,0,0,0,0,0,40.69,0,0,0.93,0,0,0,0,0,0.88,54.35,0,0,0,0,0
 24-34,0.62,0,0,0,2.75,0,0,3.3,0,0,0,0,0.86,0,0,3.87,0,3.56,300.71,0,0,3.89,0,0,0,0,0,0.75,93.74,0,0,8.18,0,0
 36-46,0,0,0,0,31.01,0,0,12.99,0,0,0,0,0.67,0,0,22.15,0,0.7,515.73,0,0.73,0,0,0,0,0,0,0,145.21,0,0,6.1,0,0
 48-58,0,3.07,0,0,148.65,0,0,20.71,0,0,0,3.67,0,0,0,13.22,0,5.82,645.43,0,0,1.03,0,0,0,0,1.85,0,132.73,0,0,0.8,0,4.45
 60-70,0,1.02,0,0,353.26,0,0,23.45,0.61,0,0,0,0,0,0,33.09,0,2.4,501.89,0,0,0,0,1.54,0,0,0,0,80.12,0,1.84,1.31,0,0.69
 72-82,0,1.39,0,0,377.45,0,0,24.85,4.83,0,0.49,1.14,0,0.62,0,21.86,0,1.87,618.57,0,2.33,0,0,0,1.34,0,0,0,69.91,2.31,2.22,0.85,0,5.85
 84-94,0.66,11.14,0,0,237.85,0,0.58,18.62,0,0,0,0,0,0.57,0,17.93,0.6,2.63,358.54,0,3.89,0,0,0,0,1.19,0,0,78.08,0,1.72,0.74,0,2.81
 96-106,0,7.01,0,0,205.4,3.72,0,25.9,0,0.87,0,1.18,0,0.6,0,24.69,0,5.32,305.54,0,0,1.93,0,0,0,0,0,0,11.25,0,3.63,5.13,0,9.66
108-118,0,1.34,0,0.6,151.2,0,0.65,16.44,0,0,0.43,5.75,0,1.65,0.58,41.57,0.56,4.24,318.24,0,0,2.14,0,7.7,0.56,0,0,0,10.69,0.83,0,0.47,1.51,8.38
120,0,0,0,0,84.3,0,0,23.38,0,0,3.53,0,0,4.54,0,19.72,0,0,269.91,2.28,3.27,3.9,0,0,0,0,1.32,0,3.82,0,0,2.07,5.05,0
