stage,erythrocytes,eye,glial,gut,immune,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,3.66,0,0,0
 10-12,0,0,0,0,0,0,7.03,4.93,0,0
 24-34,1.29,0,0,0,0,3.64,4.84,0,0,0
 36-46,0,0,1.8,0,0,0.7,3.06,0,0,0
 48-58,0,0,0.4,0,0,3.4,5.74,0,0.74,1.89
 60-70,0,0,0,0,2.24,3.02,3.36,0,1.33,1.03
 72-82,0,0,0.97,0,6.13,0.59,2.22,0,0,0.95
 84-94,0,0,1.11,0,2.59,2.97,0,0,0,0.61
 96-106,0,0,2.81,0,22.2,2.78,2.09,0,7.87,0
108-118,0,0,0,0,25.61,1.61,0,0,0,0
120,0,1.29,0,2.75,56.47,0,0,0,0,1.59
