stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,223.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.67,234.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.98,4.21,55.5,0,0,0,22.1,0,0,0,0,0,14.86,0,0,0,0,0,0,0,0,0,0,0,295.77,25.33,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.35,34.56,0,9.65,0,68.96,0,0,0,0,0,6.03,0,0,0,0,0,0,0,0,0,0,0,547.36,51.65,0,0,194.55,0,0,0,33.96,0,0,4.33,0,0,0,0,0
 14-21,0,0,1.03,15.07,5.63,0,7.24,0,0.88,0,0.98,0,0,0.89,0,0,0,0,0,0,14.95,0,0,11.45,79.72,6.49,0,1.79,2.93,0,0,8.03,0,1.3,19.76,37.26,0,0,2.89,0,0
 24-34,0,0,0,8.94,0,0,10.84,0,0,0.99,3.92,0,0,0.8,0,2.03,0,0,0,0,40.74,0.61,0,12.71,333.75,11.87,1.06,4.33,0,0,1.12,0,0,0.67,2.64,71.2,0,0,6.09,0,0
 36-46,0,0,0,3.17,0,0,23.36,0,0,3.87,11.66,0,0,0,0,0,0,0,0,0,54.1,0,2.12,10.89,390.59,1.55,2.79,0.76,0,0,0,1.78,0,0,0,85.55,0,5.7,9.81,0,1.44
 48-58,0,0,0,5.09,0,0,60.01,0,0,1.35,17.81,0,0,2.05,0,0,3.93,0,0,0,45.93,0,0.73,11.28,365.81,2.23,0,2.79,0,0,1.57,0,0,0.45,0,85.57,0,0,2.46,0,0.85
 60-70,0,0,0,7.64,0,0,119.25,0,3.43,0.63,50.56,0,0,0.95,0,0,0,0.66,0,0,60.2,0,3.92,11.68,589.36,1.1,0,6.79,0,1.13,0,0,0,1.38,0,119.44,0,10.24,9.37,0,6.81
 72-82,0,0,0,2.11,4.99,0,152.68,0,0,1.62,46.34,0,0,0,0,0,0,0.81,0,0,108.51,0,3.1,4.72,547.57,2.52,0,7.64,0,1.53,1.84,0,1.29,0,0,77.35,0,0.93,10.34,0,0
 84-94,0,0,0,7.8,4.33,0,135.79,0,0,2.2,35.65,0,0,0,3.33,0,0.66,1.05,2.94,0,89.8,0,3.55,9.83,309.35,0,0,6.26,0,3.56,1.2,0,1.34,0.68,0,58.37,0,3.76,5.63,0,0
 96-106,0,0,0,4.26,3.97,0,85.52,0.67,0,0.82,50.12,0,0,2.06,1.05,0,0,0.57,9.55,7.93,67.69,0,6.17,2.82,366.39,0,0,6.62,0,0,0,0,0,0,0,23.13,2.08,7.33,0.65,4.7,0.9
108-118,0,0,0,1.35,7.83,0,63.08,0.54,0,1.03,45.61,1.65,0,0,4.81,0,0,0,4.88,0.64,98.9,0,0.57,7.81,486.68,7.6,0,5.4,0,2.26,0,0,1.88,0,0,22.22,0,2.9,6.03,2.1,0
120,0,0,0,7.08,10.99,1.71,83.69,0,0,0,44.66,1.18,0,0,0,0,0,0,0,0,71.31,0,9.54,2.22,1052.21,0,0,4.58,0,0,1.41,0,0,0,0,4.56,0,4.12,6.32,0,0
