stage,axial,blastomeres,endoderm,epidermis,eye,glial,liver,mesenchyme,neural,olfactory,spinal_cord,vasculature
  5-6,0,11.02,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.77,0,0,0,64.36,0,0,0
 14-21,0,0,0,0,0,0,0,0,29.1,0,3.94,0
 24-34,0,0,0,2.39,0,0,2.08,0,118.15,0,19.34,0
 36-46,0,0,0,1.25,0,10.68,0,0,111.53,0,10.03,0.66
 48-58,0,0,0,1.08,1.05,1.47,0,0,100.26,0,5.9,0
 60-70,0,0,0,0,7.15,5.05,0,0,35.75,0.74,0,0
 72-82,0,0,0,2.63,2.75,15.14,0,0,48.07,0,0,0
 84-94,0,0,0,0,8.63,17.97,0,0,24.51,0,0,0
 96-106,0,0,0.65,0,5.92,10.17,9.06,3.97,19.48,0,0,0
108-118,0,0,2.62,0,2.48,10.53,0,0,39.16,0,0,0
120,0,0,0,7.17,1.95,41.36,0,0,113.35,0,1.98,0
