stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,3.47,0,0,0,0,0,0
 14-21,0,0.88,0.94,0,1.46,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,26.54,0,0,0,0,0
 24-34,0,0,0,0,0.89,0,0,0,0,0,0,0,1.27,0.61,0,0,21.38,0,0,0,0,89.53,0,0,1.71,0,0
 36-46,0,0,0,0,2.66,0,0,0,0,0,0,0,1.95,0,0,0.72,50.29,0,0,0,0,125.48,0,0,0,0.78,0
 48-58,0.4,2.62,0,0,6.05,0,2.44,0,0,0,2.3,10.06,2.8,0,0,2.51,105.05,0,0,0,0,95.62,0,0,2,0.48,0
 60-70,0,0,0,0,12.96,0,24.77,0,0,0,0,8.05,2.24,0,0,2.42,259.37,0,0,0,0,192.07,0,0.59,0,0,0
 72-82,0,1.44,0.86,0,74.79,0,80.07,0,1.72,0,0,15.77,19.78,0,0,3.4,304.65,0,0,0,0,127.69,0,0,0.62,2.07,2.5
 84-94,0,0,0,0,98.51,0,90.71,0,0,0,0,42.26,11.11,0,0,6.77,239.53,4.09,0,0,0,76.58,0,0,3.39,0,2.42
 96-106,0,0.85,0,0,80.26,1.88,96.89,0,0,0.95,1.28,17.11,28.86,0,6.67,16.59,245.98,0,0.87,0,0,58.04,0,0,1.62,0,0
108-118,0.62,3.49,0,4.02,74.06,0,159.35,0.57,0,0,0,31.62,25.58,0,0,7.08,366.8,1,0,0.63,0,27.48,0,1.37,0.49,3.91,20.85
120,0,0,1.98,0,59.47,0,216.12,0,0,0,0,3.12,5.09,0,24.41,7.6,468.52,0,0,0,0,32.98,2.39,0,0,0,0
