stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,10.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.29,3.6,0,0,0,0,0,0,0,0,0,0,41.01,0,0,3.95,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,18.59,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,1.47,0,11.33,1.38,0,0,0,0.82,0,3.41,0.98,1.06,0
 24-34,0,0,0,0,2.17,0,0,0,0,0,0,0,18.07,0,0,0,2.15,0,0,0,0.71,0.8,0
 36-46,0,0,0,0,0,0,18.32,0,1.65,0,0,0,7.45,0,0,0,0,0,0.82,0,2.72,0,0
 48-58,0,0,0,0,6.23,0,3.82,0,0,0,2.01,0,31.45,0,0,0,3.99,0,0,0,5.49,0.49,0
 60-70,0,0,0,0,7.55,0,0,0,0,0,1.96,0,26.46,0,0,0,0,0,0,0,1.1,0,0
 72-82,0,0,0,0,6.93,0.69,2.39,0,0,0,2.18,0,19.39,0,0,0,0,0,0,0,0.62,0,0
 84-94,0,0,0,0,0,0,2.5,0,0,0,0,0,22.72,0,0,0,0.56,0,0,0,0,4.62,0
 96-106,0,0,0,8.6,0,0,1.94,0.8,0,0,2.49,0,20.57,0,0,0,0,0,0,0,2.13,0,1.43
108-118,0,0,0.43,0,0.83,0,1.49,0,0,4.42,6.87,4.49,11.76,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,8.54,0,0,0,0,2.24,0,0,3.14,0,11,0,0,0,0,0,0,0,0
