stage,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0
 14-21,1.32,0,0,0,0,0,0.87,0,0.9,0,0,7.61,0,0,1.02,0.87,0
 24-34,0,0.59,0,0,0,0,0,0,0,0,0.92,12.27,0,0,0,0,3.84
 36-46,0,0,12.8,1.44,15.84,0,1.64,0.68,1.44,0,0,28.37,0,0,0,0,11.59
 48-58,0,0,7.04,2.28,23.37,0,0.39,0,3.34,0,0,9.48,0,0,0,0,3.29
 60-70,0,0,10.98,4.43,22.53,0.84,0,0,0,0,0,2.35,0,0,0,0,0
 72-82,0,0,12.04,6.82,9.79,0,0.83,0,4.84,0.68,0,2.85,0,0,0,0,0
 84-94,0,0,25.65,6.53,12.9,1.05,0,0,12.25,0,0,4.46,0,0,0,0,4.95
 96-106,0,0,21.21,5.31,14.24,0,1.03,0,9.11,0,0.9,6.79,0,0,0,0,0
108-118,0,0,37.5,7.29,25.46,0.73,1.83,0,17.64,0.45,0,4.3,0,2.29,0,0,0
120,0,0,99.84,6.25,15.64,5.27,0,0,17.8,0,0,11.49,1.46,0,0,0,0
