stage,epidermis,eye,glial,immune,mesenchyme,muscle,neural,periderm,spinal_cord
 24-34,0,0,0,0,0,0,0,0.69,0
 36-46,0,0,0,0,0,0.57,5.02,2.2,0
 48-58,0,0,0,0,1.53,0,3.48,0,1.83
 72-82,0.79,2.41,1.39,0,0.68,0,1.26,0,0
 84-94,0,0,0,1.3,13.8,0,0,0,2.56
 96-106,0,0,0.72,0,1.32,2,0,0,0
108-118,0,1.5,1.12,0,0,0,0.76,0,0
