stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,27.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.22,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.09,0,0,0,0,0,0,0,0,0,0
  7-9,13.55,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,22.54,18.96,0,0,0,0,0,0,2.18,0,0,0,0,0,0,0,0,175.85,0,0,75.39,37.15,0,0,0,0,0,10.76,2.59,13.52,0,0,1.74,0,0,0,0,0
 24-34,0,0,5.95,1.52,0,4.46,0,0,10.63,0.66,0,0,0,0,0,0,0,2.83,0,1648.62,0,0,443.96,83.77,0,3.03,0.63,0,0,8.63,21.25,0.86,0,1.56,5.19,0,0,0,0,0
 36-46,0,0,4.67,1.56,0,16.06,0,12.61,63.95,4.18,0,2.88,0,0,0,0,2.26,9.75,0,4130.45,0,0,807.36,145.17,0,1.19,3.81,0,0,39.44,0,0,1.17,0,12.54,0,13.74,0,0,0
 48-58,0,0,87.73,2.66,0,112.61,1.6,30.77,176.06,14.36,0,54,0.69,4.54,0.49,0,0,6.91,7.1,8709.88,0,19.13,1079.07,335.52,0,2.01,0.69,0,0,2.28,0,0,0,0,38.41,0,0.64,5.7,0,0
 60-70,0,0.82,256.74,4.44,0,180.36,2.67,7.06,139.98,20.61,6.43,15.82,0.88,0,0,2.22,0,50.33,0,12325.54,2.18,9.45,996.84,211.06,0,1.09,0,0,39.93,4.77,0,0,0,0,17.81,0,40,0.74,0,1.36
 72-82,0,0,507.92,17.32,0,593.48,53.97,20.07,506.34,67.6,8.38,27.25,0.68,1.39,7.97,0,2.78,1.65,0.49,19858.23,5.66,43.35,1993.01,477.78,0,1.01,6.39,0,35.78,15.16,0,0,1.5,0,29.24,9.52,133.55,1.92,26.2,24.99
 84-94,0,0,1255.39,4.93,0,711.37,1.73,23.49,306.03,83.09,3.37,69.92,0,0.75,33.55,8.42,5.73,0.96,0,16741.61,8.84,20.54,1259.41,204.59,1.8,0,0,0,18.34,5.86,0,114.72,0,0,19.03,15.63,62.84,14.29,6.09,6.17
 96-106,0,3.19,2770.51,45.86,7.44,920.04,7.38,157.05,310.59,50.27,15.8,1.06,7.12,32.69,37.69,1.84,8.58,51.9,0,19817.41,45.18,136.83,1510.29,1053.17,2.42,10.54,4.4,0,208.79,90.52,0,19.7,0,0,6.26,8.07,55.84,5.99,68.38,4.88
108-118,0,1.52,3737.77,13.23,7.06,533.79,0,223.94,302.18,50.12,30.46,0,5.5,8.29,21.48,2.81,9.09,7.42,0,25029.06,24.76,70.56,1949.66,998.72,0.55,11.1,1.66,0,500.35,25.76,0,2.17,0.56,0,12.65,6.95,168.51,5.12,10.79,5.25
120,0,0,2752.36,2.74,1.89,421.86,0,338.02,224.92,175.44,24.35,0,4.26,52.63,56.99,6.44,29.28,1.78,0,21900.48,16.35,385.29,949.72,1019.67,0,8.7,5.29,0,1081.94,6.5,0,32.87,0,0,41.27,7.88,176.97,17.34,33.59,26.36
