stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,78.02,1417.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.66,0,0,0,0,0,0
  5-6,46.41,1198.64,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,7.86,0,0,0,0,0,11.47,0,0,0,0,0,0
  7-9,30.6,16.2,11.41,0,0,11.38,0,0,0,11.29,0,0,0,0,0,0,0,390.3,19.1,0,0,95.58,0,5.34,0,0,0,0,0,0
 10-12,0,0,6.99,0,0,11.79,0,0,0,4.27,0,0,0,0,0,0,0,82.68,0,0,0,20.03,0,0,0,0,5.98,0,0,0
 14-21,0,0,3.45,13.22,0,7.98,0,0,4.15,0,0,7.89,0,7.48,0,0,0.89,667.54,0,0,1.91,0,0,0,0,0,0,3.48,105.91,0
 24-34,0,0,0,23.59,0,110.84,0.68,0.61,76.22,0,4.51,15.57,0,107.94,2.08,0,44.53,8293.48,0.79,1.96,14.15,0,2.91,4.72,0,0,0,2.23,2335.41,3.41
 36-46,0,0,0,12.03,4.26,107.93,0,2.25,82.42,0,0,1.99,0.67,89.8,0,2.49,28.17,2833.21,3.42,3.42,1.49,0,0,2.34,0.81,1.05,0,0.9,2370.2,2.9
 48-58,0,0,0,3.18,0,35.54,0,1.28,12.56,0,0.88,0,0,42.64,0,0,10.39,236.65,0,0,1.37,0,0,0,0,0,0,0,240.8,0
 60-70,0,0,0,0,0,17.09,0,2.64,8.41,0,0,0,0,2.24,0,0,3.46,57.72,0,0,0,0,0,0,0,0,0,0,15.08,0
 72-82,0,0,0,0,0,8.15,0,0.89,0.9,0,0,0,0,3.34,0,0,2.38,28.41,0,0,0,0,0,0,0,0,0,0,3.61,0
 84-94,0,0,0,0,0,11.4,0,0,0.57,0,0,0,0,11.6,0,1.29,1.82,5.25,0,0,0,0,0,0,0,0,0,0,5.58,0
 96-106,0,0,0,0,0,6.07,0,0,4.97,0,0,0,0,2.66,0,0,0,21.24,0,0,0,0,0,0,0,0,0,0,4.16,0
108-118,0,0,0,0,0,15.11,0,0,0,0,0,0,0,1.08,0,0,0.71,16.52,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,10.68,29.66,0,0,0,0,0,0,0,0,0,0,0,0
