stage,blastomeres,endoderm,epidermis,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,78.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.97,21.19,0,0,0,0
 10-12,0,12.71,0,0,0,0,0,0,0,0,0,9.51,0,0,0,0
 24-34,0,0,0,0,0,0,1.16,0.66,0,1.98,3.45,0,1.58,2.06,0,0
 36-46,0,0,0,0,0,0,1.88,0,0.74,0.84,3.16,0,0.9,0,0,0
 48-58,0,0,0,0,0,0,0.81,0,1.94,3.87,8.03,0,0,0,0,0
 60-70,0,0,1.74,0,0,0,0.79,10.15,8.07,0,1.57,0,0,0,0,0
 72-82,0,0,2.62,7.73,0,0,0,0,6.67,3.07,5.25,0,0,1.64,0.94,0.71
 84-94,0,0,0,5.01,2.37,0.62,1.06,0,4.13,1.12,2.6,0,0,0,0,0
 96-106,0,0,0,5.53,0,0,0,0,2.08,0.76,0,0,0,0,0,0
108-118,0,0,0,1.92,2.81,0,0,0,5.65,0.67,4.85,0,0,0,0,0
120,0,0,5.05,0,0,0,0,0,9.92,2.02,0,0,0,4.01,0,0
