stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,27,520.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.45,0,0,0
  5-6,22,256.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,6.15,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.73,11,0,11.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0
 48-58,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,1.02,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.01,2.64,0,0,0,0,0,6.66,0.77,0,0,0,1.52,0,0,0,0,0,0,0.57
 84-94,0,0,0,0,0,0,6.69,0,0,0,0,0,0,13.27,1.12,0,0,0,0.8,0,0,0,0,0,0,0
 96-106,0,0,0,1.25,0,0,4.15,0.77,0,1.06,0,0.6,1.24,91.44,1.08,1.94,3.47,0,13.72,0,0,0,0,0,2.21,0
108-118,0,0,0,0,4.98,0,1.07,3.01,0.73,0,1.17,0,0,337.85,9.72,0,0,2.19,11.43,0,0.79,0,0,1.85,0,0
120,0,0,3.9,0,0,4.06,38.76,5.85,1.4,0,0,0,0,283.28,0,0,0,0,9.99,0,0,0,0,1.2,0,0
