stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,neural,periderm,somites,vasculature
  7-9,0,6.88,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.83,0
 24-34,0,0,0,0,0,0,0,0,0,0.99,0,0.87
 72-82,0,0,0,0,1.85,0,0,0,0,3.72,0,0
 84-94,3.24,0,0,0,0.6,0,0,0.93,0,0,0,2.29
 96-106,4.67,0.67,0,2.1,0,0.86,5.87,0,0,0.57,0,0
108-118,0,0,0,0.48,0.8,0,0,0,4.43,12.43,0,0
120,1.03,0,2.07,0,1.09,0,0,0,0,7.06,0,0
