stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.65,290.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.09,298.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.67,0,0,0,0,0,0,0,0,0,0
  7-9,9.48,0,0,4.33,0,0,0,9.47,0,0,0,0,0,0,0,33.58,0,0,0,23.26,0,0,0,0,0,0,0
 10-12,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,30.38,0,0,0,7.96,4.52,0,0,0,0,0,0
 14-21,0,0,15.98,2.76,1,0,1.14,0,0,0,0,0,0,0,1.9,48.85,3.24,0,0,1.81,2.62,5.61,1.77,4.45,0,0,0
 24-34,0,0,0,2.12,0,0,0,0,0,0,0,0.96,5.47,0,1.7,11.88,0.75,0,2.19,0,10.12,0,0,4.02,1.51,0,0
 36-46,0,0,0,13.08,0,0,0,0,0,0,0,0,9.83,0,0,28.63,0,0,0,0,3.95,0,0,4.88,0,0,0
 48-58,0,0,0,28.45,0,3.12,0,0,0,0,0,0,2.41,0.59,0,24.46,0,0,0,0,11.7,0,0,5.79,2.13,0,0
 60-70,0,0,0,21.69,3.15,0,0,0,0,0.65,0,0,4.77,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,31.94,0.62,0,0,0,0,0,1.39,0,1.28,0,0.68,8.89,0,0,0,0,0.61,0,0,0,0,0,0
 84-94,0,0,0,2.6,0,0.79,0,0,0,1.41,0,0,0,0,0,5.66,0,0,0,0,11.77,0,0,0,0,0,3.09
 96-106,0,0,1.77,19.96,0,0,0,0,0,0.59,0.73,0,1.79,0,0,5.42,0,0,0,0,6.01,0,0,0,0.71,0.8,0
108-118,0,0,1.67,5.84,0,0.51,0.45,0,0.63,2.28,0,0,1.68,0,0,4.49,0,0.54,0,0,15.3,0,0,0,0,0,0
120,0,0,0,7.51,1.09,0,0,0,0,1.57,0,0,1.23,0,0,20.76,0,0,0,0,0,0,0,1.81,0,0,0
