stage,axial,endoderm,epidermis,erythrocytes,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,periderm,pronephros,spinal.cord,taste
  7-9,0,33.26,0,0,0,0,0,0,0,0,18.17,0,0,0,0,0
 10-12,0,62.92,0,0,3.85,0,0,0,0,0,54.13,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0
 24-34,0,0,0,0,0.62,0,0,0,0,0,20.14,0,0,0,4.28,0
 36-46,0,0,0,0,1.6,5.25,0,0,0,0,48.62,0,0,0,32.63,0
 48-58,0,0,0,0,84.53,5.9,0,4.96,0,0,96.87,0,0,0,17.72,0
 60-70,2.52,0,0,0,210.6,11.79,0,0,4.48,0,143.06,0,0,0,28.11,0
 72-82,0,0,0,0,328.74,12.49,0.61,0,0,1.55,139.01,5.96,1.2,0,2.19,0
 84-94,0,0,0,3.52,201.95,7.65,0,0,0.59,0,94.87,0,0,1.21,5.92,0
 96-106,0,0,0,0,211.8,9.88,0,0,3.3,0,39,0,0,0,0,0.87
108-118,0,0,1.4,0,130.47,0,2.81,0,0.57,0,43.2,0,0,0,1.92,0
120,0,0,0,0,63.63,24.87,0,0,0,0,137.16,0,0,4.11,19.24,0
