stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,24.78,0,13.42,296.67,33.56,76.31,0,0,0,21.35,3.61,54688.99,1.15,7.57,16.31,0,4.94,0,86.92,0,0,88.82,1596.78,82.27,0.93,14.77,25.52,0,96.26,239.14,4.35,42.33,231.33,560.9,0,27.57,20.32
 24-34,0,0,8.68,119.61,35.83,268.81,1.42,8.24,4.8,54.57,6.2,22882.74,3.91,4.76,16.6,1.61,63.73,25.25,154.42,7.33,0.91,100.48,2829.73,38.35,24.27,20.56,0,4.51,170.91,1.59,12.43,138.25,60.04,500.58,0,186.02,17.56
 36-46,0,0.85,0,22.88,0,42.33,0,0,3.14,3.7,0,5040.85,3.89,6.11,1.37,0,6.07,0,70.76,6.63,0,10.06,880.85,4.14,0.81,2.25,0,0,25.36,0,0.67,3.18,1.41,69.87,0,9.2,19.15
 48-58,0,0,0.43,2.63,0,9.94,0,0,0,1.16,0,1125.24,0,0,0.62,0,0,0,5.74,3.86,0,5.12,74.54,0,0.93,1.98,0,0,1.28,0,0,0,0,8.17,0,0.55,6.36
 60-70,0,0,0,0,0,5.69,0,0,0,0.94,0,101.61,0,0,0,0,0,0,3.4,0,0,0,23.06,0,0,2.51,0,0,0,0,0,0,0,8.47,0,0,3.17
 72-82,0,0,4.75,3.13,0,0,0,0,0,1.6,0,26.56,0,0,0,0,0,0,5.56,1.5,0,0,19.68,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0
 84-94,0,0,3.73,1.22,0,2.48,0,0,0,0,0.67,22.2,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,4.15,0,0,11.2,0,0,0,0,0,0,0,0,0,0,2.16,0,5.6,0,0,0,2.77,0,0,2.43,0,0,1.71,0,0,0,0,0,0,0,0
108-118,0,0,33.52,0.51,0,2.25,0,0,0,0,1.51,0,0,0,0,0,0,0,1.33,0,0,0,5.8,0,0,1.53,0,0,0,0,0,0,0,0,0.66,0.86,0
120,0,0,5.11,0,0,0,0,0,0,6.7,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0
