stage,axial,blastomeres,endoderm,epidermis,eye,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,254.71,0,0,0,0,0,0,0,0,0,16.92,0,0,0,0
  5-6,34.64,369.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.25,8.69,0,0,14.14,0,0,152.29,3.96,0,32.78,4.16,0,0,0,0
 10-12,0,5.81,17.43,0,17.94,0,0,132.45,3.16,0,65.46,0,4.12,0,0,0
 14-21,0,0,0,1.29,1.02,0,0,0.99,0,0,0,0,0,0.91,0.87,0
 24-34,0,0,0,0,0,0.62,2.55,10.14,0,0.65,0,0,0,0,0,0
 36-46,0,0,0,0,1.4,0,0,12.98,0,0,0,0,0,0,0,0
 48-58,0,0,0,5.65,1.33,0.38,0,1.69,5.1,0,0,0,0,0,1.08,0
 60-70,0,0,0,0,0.59,0,0,15.32,0,0,0,0,0,0,0,1.29
 72-82,0,0,0,0.63,0.71,2.58,0,0,0,0,0,0,0,0,2.36,0
 84-94,0,0,0,0,0,1.27,0,4.54,0,1.79,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,4.93,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0
