stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,148.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0,0
  5-6,48.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33,0,0,0,11.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.74,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,23.27,0.83,0.87,0,1.12,0,0,0,4.09,11.42,0,0,0,0,0
 24-34,0,0,2.9,0.92,14.58,0,0,0,0,0,1.13,0,0,0,0,7.11,0,0,0,80.76,0,2.07,0,0,0,1.56,0,0,47.52,0,0,0,0,0
 36-46,0,0,0,0,7.73,0,0,0,3.34,0,0,0,0,0,10.57,8.43,0.68,0,4.65,167.8,0,3.24,1.31,0,0,4.91,0,0,63.28,0,0,2.25,0,0.67
 48-58,0,0,3.59,0,27.43,0.73,0,0.46,21.96,0,0,0,0,0,0,4.61,0,0.54,0.53,296.48,0,0.88,0.52,0,0,0.75,0,0,71.8,0,0,0,0,0
 60-70,0,0,0,0,157.87,0,2.09,0,19.58,0,0,0,0,0,0,7.98,0,0.99,3.09,305.8,0,1.48,0,0,0,4.44,0,0,48.55,0,0,2.56,0.94,0
 72-82,0,1.14,8.24,0.71,320.67,0.58,0,1.49,18.92,0,0.66,0.59,0,0,0,27.5,0,8.47,0.73,468.6,0,3.75,0,0,0,8.02,0,0,54.7,0,0,2.44,1.83,0
 84-94,0,0,1.36,22.3,300.27,0,0.81,1.74,27.03,0.76,0,0.82,0.79,1.02,0,23.49,0,1.88,3.91,399.62,0,3.99,2.21,0,0,7.67,0,0,61.61,0.71,0,0,0.63,0.7
 96-106,0,0,4.83,0,312.03,1.43,0,0,21.53,0,0,1.47,0,0,3.66,15.15,0,2.07,1.59,399.16,0,1.32,2.12,0,1.05,14.9,0,0,17.5,0,1.21,1.81,3.89,0
108-118,0,0,8.12,0,336.11,1.37,0.42,0.46,28.56,0.7,0,0,0,2.61,0,24.27,0,0.69,1.58,531.83,0,1.44,0,0,0,7.18,0.42,0,15.85,0,0,1.76,0,0
120,0,0,4.46,0,319.14,1.47,0,5.94,72.99,0,0,2.44,0,7.2,0,8.81,0,0,5.39,771.42,2.89,24.93,5.65,0,0,0,0,0,59.94,0,0,7.1,8.57,7.26
