stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  5-6,17.28,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.85,0,0,0,0,0,0
 10-12,0,0,0,0,0,12.13,0,0,4.04,0,0,0
 14-21,0,0,0,0,1.51,2.95,0,0,0,1.56,0.84,0
 24-34,0,0,0.62,0,0,3.98,0,0,0,2.04,0,5.21
 36-46,0,0,0.72,0,0,1.63,0,0,0,0,0,1.17
 48-58,0,0,0.39,0,0,3.91,0,0,0,0,0,0
 60-70,0,0.87,3.11,0,0.7,2.13,0,0,0,0,0,0
 72-82,0,0,0,1.58,0,0,2.09,0,0,0,0,0
 84-94,0,0,0,0,1.59,1.21,0,2.1,0,0,0,0
108-118,0,0,1.87,0.87,0,0.6,0,0.41,0,0,0,0
120,0,0,0,0,0,6.44,0,0,0,0,0,0
