stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,64.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,75.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.29,0,0,0,0,0,3.78,0,0,0,0,0,41.42,0,12.6,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,0,0
 14-21,0,0,0,5.86,1.1,0,0,0,0,0,0,0,0,0.91,7.09,0,0,1.02,0,2.74,1.22,0
 24-34,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0.91,8.05,0.69,0,0.9,0,0,0,0
 36-46,0,0,0,7.27,0,0,1.31,0,0,0,0,0.57,0,0,2.57,3.66,0,0,0,0,0,0
 48-58,0,0,0,0.37,0,0,0,0,0,1.22,0.38,1.8,0,0,1.79,0,0,2.45,0,0,1.88,0
 60-70,0,0,0,2.3,0,14.06,2.07,0,0,0.8,0,0.97,0,1.33,6.13,0,0,0,0.59,0,3.08,0
 72-82,0,0,0,0,0,4.72,0,0,0,0,0,0.98,0,0,0,0.9,0,0,0,0,0,0
 84-94,0,0,0,2.3,0,2.47,1.2,0,0,0,0,0,0,1.02,1.93,0,0,0.77,0,0,3.89,0
 96-106,0,0,0,0,0,0,1.55,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,1.21
108-118,0,0,0,0,0,0.57,0,0.69,0,0.61,0,1.67,2.24,0,2.12,0,0,0.91,0,0,0,0
120,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
