stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,neural,olfactory,otic,periderm,pronephros,spinal.cord
  3-4,36.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.64,0,0,0,0,3.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.94,0,0,0,0,0
 14-21,0,0,2.27,0,0,0,0,0,0,0,0,0,4.28,0,0.88
 24-34,0,0,0,0,0,0.96,0,0,0,1.05,5.3,0,4.36,0,0
 36-46,0,0,0,2.02,0,0,0,0,0,1.64,0.73,0,0.89,0.58,0
 48-58,0,0,0,0.41,0,1.47,0,0,0,1.58,1.15,0,0,0,0
 60-70,0,0,0,1.95,0,0,0,0,0,4.76,0,0,0,0,0
 72-82,0,0,0,2.2,0,15.4,0,0,0,7.72,0.75,0,0,0,0
 84-94,0,0,0,3.33,0.89,0,0,0,0,5.17,0,0,0,0,0
 96-106,0,0,0,6.75,0,2.78,0,0,0,0.56,2.28,0,6.96,0,0
108-118,0,0,0,2.19,0,0,0,0,0.61,1.05,5.01,0.74,0,0.78,0
120,0,0,0,32.35,0,0,0,1.63,0,4.81,0,0,0,0,0
