stage,blastomeres,erythrocytes,eye,glial,gut,lateral.line,liver,mesenchyme,mucous,neural,pericytes,periderm,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,25.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.82,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0
 10-12,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.61,0,0,0,0.53,0,1.19,0,0,0,1.4,0
 60-70,0,0,0,0,0,0,0,6.66,0,3.91,0,0,0,2.46,0
 72-82,0,0,2.98,0,0,1.53,0,31.89,2.46,8.13,2.23,0,0,12.65,0
 84-94,0,3.55,0,0.84,0.67,0,0.56,35.7,5.77,4.71,0,0,0,9.62,0
 96-106,0,0.63,2.5,0,0,0,8.88,37.64,0,11.75,0,0,1.24,7.04,1.89
108-118,0,0,0,0,0,0,0,25.87,0,6.35,0,0,1.53,6.99,0
120,0,1.62,0,0,1.1,0,0,10.55,0,8.64,0,0,0,23.25,0
