stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.84,20.37,2.15,5.5,0,0,0,1.81,4.22,0,0,0,1.67,0,0,0,0,5.69,0,3.09,87.37,6.48,0,0,3.66,12.06,7.78,12.69,0,2.86,12.91,35.83,0,0,0
 24-34,0,0,0,0.78,0,16.08,0,3.2,1.47,4.8,0.61,6.5,2.35,0.6,0.79,0,0,0.65,0,8.31,0,3.87,244.56,0.61,8.72,4.11,0,2.64,0,0,0.64,1.16,0.63,71.99,0,4.78,0
 36-46,0,0,0,4.87,0,29.51,0,0.56,0,3.94,0,0,0,0,8.6,0,0,0,0.99,10.11,0,1.69,225.4,0,0,0.81,0,15.67,0,0,0,0,0,34.23,0,2.44,0
 48-58,0,0,0,0.37,0,96.8,0,1.26,1.02,11.22,0,0,0,0,0,0.51,0,0.39,0.39,14.95,0,0.95,343.54,0,0.96,3.93,0,4.92,0,0,0,0,0,62.55,0.89,2.95,4.53
 60-70,0,0,0,10.6,0,138.01,0,0,0.9,9.04,0,0,0.9,0,0,5.84,0,0,0,30.3,4.81,2.94,419.45,0,1.75,0,0,10.08,0,0,0.59,0,0,41.97,1.28,0,0
 72-82,0,0,0,1.78,1.81,129.62,0.59,0,6.33,14.42,0.54,0,0,0,0.53,0.59,0.99,0,0,21.22,0.72,1.51,242.94,2.85,5.04,0.97,0,2.97,0,0,0,0,0,33.72,0.89,2.06,10.43
 84-94,0,0,0,4.48,4.49,67.27,0,0,0,7.1,0.57,0,0,0.77,0,0,0,0,0,15.48,4.62,3.94,145.98,1.54,2.07,1.29,0,9.01,0,0,0,0,0,9.2,0,2.63,0
 96-106,0,0,0,3.13,1.23,55.64,0,0.57,0,16.64,0,0,0,0.64,1.88,0.75,0.71,0,0,16.14,0,0,113.7,0.73,0.59,1.25,0,6.75,0,0,0,0,0,2.27,1.15,3.57,0
108-118,0,1.15,0,2.59,0,27.24,0,0,0.61,12.55,0.93,0,1.89,4.18,0,0,0,0,0,13.04,0,0.66,112.96,0,3.99,0,0,0.43,0,0,0,0.55,0,5.08,0,0.59,0
120,0,1.73,0,5.99,1.33,72.74,0,1.06,6.63,29.75,0,0,6.41,0,1.25,0,0,0,0,22.2,0,0,278.98,0,0,13.66,0,8.42,0,0,1.22,0,0,6.57,0,0,4.33
