stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,xanthophores
  3-4,53.41,669.69,0,0,0,0,0,0,0,0,0,14.43,0,0
  5-6,60.09,542.61,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.55,0,0,0,0,48.75,0,0,33.15,0,0,0
 14-21,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.76,6.7,0,0,0,0,1.62,0
 36-46,0,0,0,0,0,8.42,0,26,0,0,0,0,1.32,0
 48-58,0,0,0,1.04,0.46,0.96,0.7,78.01,1.19,0,0,0,1.85,0.92
 60-70,0,0,0,3.58,0,0.64,0,39.98,0,0,0,0,6.59,0
 72-82,0,0,0,2.51,0,3.15,0,11.96,2.88,0,0,0,0,0
 84-94,0,0,0,7.59,0,5.43,0.95,22.13,0,0,0,0,1.7,0
 96-106,0,0,0,0,0,1.44,0,25.2,0,0.69,0,0,0,0
108-118,0,0,0,0,0,0,0,14.26,0,0,0,0,0,0
120,0,0,0,3.52,0,0,0,41.25,0,0,0,0,0,0
