stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,160.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0,0,0
  5-6,7.58,16.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0
  7-9,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,56.97,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,21.88,0,0,8.33,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,1.04,0,0,0,0,0,0,0,0,0,0,0,5.49,1.03,0,0,0,2.74,2.75,0,0,0,0
 24-34,0,0,0,0,0.88,0,0,5.14,0,0,0,0.95,1.66,0,0,0,27.24,0,0,0,0,0,5.4,0,4.46,0,0
 36-46,0,0,1.28,0,6.9,0,0,0.9,0,0,0,0,1.19,0,0,0.63,38.55,1.22,0,0,1.06,0,11.74,0,0,0,1.26
 48-58,0,0,0.37,0,7.6,0,0,5.46,0,0,0,0,2.32,0.39,0,0.4,20.77,0,0,0,0,0,4.22,0,0.9,0,0
 60-70,0,0,0,0.61,5.82,0,0,1.09,0,0,0,0,1.64,0,0,0,32.12,0,0,0,0,0,6.34,0.61,2.55,0,0
 72-82,0,0,0,0,12.3,5.77,0.71,3.89,0.64,0,0,0,4.39,0,0,0.75,24.5,1.13,1.28,0,2.07,0,3.32,0,3.83,0,0
 84-94,0,0,0.88,0,15.06,0,1.14,1.63,0,0,0,0,6.42,0,0,0,20.59,0,0,0,2.87,0,0,0,0.97,0,0
 96-106,0,0,0,9.61,30.83,0,0,2.81,0,0,0,0,0.61,0,2.99,2.91,13.8,0.75,0,0,0,0,4.7,0,1.06,0,0
108-118,0,0,2.49,0,11.66,0.52,0,12.48,0,0,0,1.33,2.42,0,0,0,33.74,0,1.24,0,1.15,0,4.95,0,0,0,0
120,0,0,13.18,0,39.31,0,0,5.14,0,2.47,6.31,0,5.77,0,0,0,45.56,2.49,0,0,5.6,0,0,0,12.8,7.07,0
