stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.62,92.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,0,0,0
  5-6,33.14,77.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.52,0,0,0,0,0,74.77,0,0,0,0,0,0,0,0,0,0,0,30.08,13.68,0,0,15.92,0,3.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.33,0,0,0,0,0,0,0,0,0,35.53,0,0,0,0,0,0,0,0,0,0,0,103.93,15.61,0,0,20.1,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14.76,1.96,0,0,0,0,0,0,1.08,0,0,0,1.26,0,0,0,0,7.69,0,0,4.09,27.61,0.99,1.74,0,0,0,2.52,3.9,0,0,5.3,14.73,0,0,2.77,0,0
 24-34,0,0,0,0,4.69,1.7,0,8.24,0.73,1.34,1.71,3.34,0,0,0,1.52,0.59,0,0.7,0,0,15.73,3.04,0,13.28,98.39,0,2.3,0,0,0,14.16,0,0.84,0,1.42,21.67,0,0,14.34,0,3.27
 36-46,0,0,0,0,9.35,0,0,13.78,0,1.14,1.9,7.93,0,0,1.45,0,1.57,0,0.62,2.66,0,35.29,0,0.6,16.69,131.62,3.35,4.11,1.46,0,0,37.3,0,0,0,0,37.63,0,0,0.63,0,20.27
 48-58,0,0,0,0,5.06,2.77,0,38.14,2.4,0.8,0.96,36.27,0,0.58,0.77,1.15,0,0.79,0,0,0,58.08,3.29,0.69,7.89,253.62,2.53,2.9,0.43,0,0,21.21,0,0,0,0,41.07,0,0.37,3.02,0,6.56
 60-70,0,0,0,0,12.22,4.64,0,124.18,0,1.53,0,21.37,3.12,0,0,1.6,0,0.66,3.41,0,0,44.8,2.43,4.26,4.52,319.26,0,1.08,0,0,0,16.59,0,1.06,1.45,0,41.81,0,0,5.82,0,1.29
 72-82,0,0,0,0,1.73,18.43,1.04,142.36,0,1.08,10.12,26.66,0,0,0,4.04,0,0.65,1.15,0,0,68.84,2.4,5.83,5.37,283.21,0,0.74,2.27,0,0,4.11,0,0,0,0,18.18,0.5,0,3.53,6.05,2.17
 84-94,0,0,0,0,6.83,53.8,4.23,109.8,1.97,5.97,2.32,30.42,3.18,0,0,6.45,0,1.61,4.61,1.37,0,51.29,2.13,10.16,9.13,237.06,0,3.12,0.73,0,0,9.78,0,0.94,0.8,0,15.91,0.6,0.88,2.45,0.89,0
 96-106,0,0,0.83,0,7,59.45,2.92,99.18,1.57,1.21,0.93,16.65,6.62,0,0,9.55,0.98,0,1.32,0,0,38.52,1.34,0.57,5.5,216.19,0,1.44,1.71,0,2.56,7.7,0,0.88,0,0,13.89,0,0.87,8.78,1.67,8.79
108-118,0,0,0,0,12.54,17.58,28.43,122.88,0.68,1.42,11.2,11.12,2.84,0,0,2.26,3.88,1.5,1.53,0,1.91,49.64,2.42,0.75,8.04,214.02,2.34,6.06,1.23,0,1.95,8.49,0,0,0,0,8.58,1.73,0,7.02,2.27,0
120,0,0,0,1.28,5.46,2.94,2.86,63.27,1.57,0,0,33.3,3.61,0,0,23.04,4.28,0,0,0,0,28.02,1.16,2.08,3.59,298.08,0,18.62,12.46,0,1.79,3.33,0,0,0,0,16.45,0,1.56,0,1.93,0
