stage,axial,blastomeres,endoderm,erythrocytes,neural,notochord,paraxial.mesoderm,pronephros,somites
  3-4,38.23,21.15,0,0,0,0,0,0,0
  5-6,0,10.18,0,0,0,0,0,0,0
  7-9,5.44,0,0,0,0,0,34.59,0,0
 10-12,0,50.53,7.76,15.91,1105.61,4.69,263.23,61.35,11.48
