stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,38.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.86,0,0,0,0,0,0,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.87,0,0,0,5.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.05,0,0,0,0,0,1.3,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,15.68,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.88,0,0,4.34,0,0,0.57,0,1.25,0,0,0,15.42,4.37,0,0,0,0.76,0,0
 48-58,0,0,0,0,0.99,0,0,0,2.62,0,5.79,1.53,0,0,3.26,0,0,0,0,0,6.27,0.61,1.09,0,0,1.51,0,0
 60-70,0,0,0,0,5.72,0,0,1,5.65,0,0,33.57,6.82,0,0,0,2.89,0,0,0,6.64,0,0,0,6.19,3.21,5.37,0
 72-82,0,0,6.49,2.4,17.14,0,5.3,0,36.53,2.52,0,257.59,7.03,0,5.38,0,1.49,0,0,2.62,5.1,0,0,0,13.37,0,21.54,0
 84-94,0,0,2.47,0,9.31,0,0,0,17.92,0,3.72,388.78,0.84,0,4.42,0,3.19,0,0,0,12.69,0,2.38,0.86,9.11,0,16.07,0
 96-106,0,0.81,21.73,0,5.85,1.55,0,3.43,40.81,0,1.03,738.41,0,0,30.95,2.49,2.4,0.59,0,1.17,20.13,0,5.4,1.83,9.5,0,8.97,0
108-118,0,0,0,0,16.75,2.18,0.77,0,10.02,0,0,708.29,11.86,0.75,25.66,0,3.31,0,0,14.85,7.7,0,0.98,1.68,2.61,1.73,8.28,0.97
120,0,0,1.28,0,0,0,0,1.43,11.89,0,0,726.51,13.74,0,2.54,0,3.36,0,0,0,5.89,0,0,0,0,0,0,0
