stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,4.56,17.33,104.08,63.53,0,87.1,0,0.82,0,5.46,31.5,6.67,0,0,4.79,0,0,32.62,2.92,39.39,1.79,0,32.74,584.65,18.32,0,1.86,7.9,0,3.07,5.05,68.29,74.53,5.95,126.03,207.86,0,0,4.91,0,3.12
 24-34,2.1,8.98,41.82,7.4,0,162.28,2.02,3.14,4.07,10.57,10.42,0,6.1,10.3,5.18,7.43,4.91,39.17,6.5,125.59,0,0.91,52.06,865.23,12.69,8.52,13.89,0,0,7.14,0.86,1.79,32.74,13.76,56.75,156.99,0,0,38.19,0,6.44
 36-46,2.2,1.67,43.33,0.81,0,138.14,7.82,8.48,4.79,27.23,3.55,0,12.37,5.68,3.49,23.14,3.66,23.58,13.42,126.12,3.5,0,41.3,605.16,9.26,6.91,2.85,0,0,14.89,0,0,28.53,1.61,2.36,130.87,0,0,22.56,0.78,30.34
 48-58,3.66,1.49,23.63,1.13,0,215.58,2.87,8.72,11.15,86.64,12.33,1.42,4.05,13.44,10.39,50.7,3.11,36.93,15.49,164.77,2.79,8.58,46.38,472.21,8.54,12.3,14.03,0,0.96,6.15,0,0,11.85,6.22,0,90.18,0,1.99,35.07,0,20.22
 60-70,2.49,0,50.3,6.74,3.65,247.52,8.79,18.99,9.09,132.46,14.95,0,3.51,22.03,5.07,70.09,0,33.77,13.54,216.29,5.47,10.52,32.28,402.3,15.48,0.9,5.47,0,1.79,23.2,0,0,39.78,0.64,0,72.64,0.61,13.96,19.87,0.89,35.42
 72-82,16.03,0,22.08,12.44,1.75,236.37,3.43,2.59,12.3,157.88,30.82,0.59,4.4,9.64,2.97,92.14,4.31,106.21,10.2,397.22,9.34,9.92,39.8,349.03,3.74,2.75,10.06,0,8.61,8.7,0,0,21.01,2.12,0,35.62,2.22,7.15,29.34,9.22,44.08
 84-94,22.37,3.1,58.92,18.24,9.94,281.11,2.13,6.38,35.96,157.71,72.52,3.31,9.11,41.76,13.28,131.89,7.32,222.32,14.67,372.77,4.84,8.82,54.97,299.13,5.25,4.07,18.61,0,0.91,85.1,0,0,79.57,5.15,0,34.67,6.68,8.02,40.43,15.9,59.49
 96-106,28.07,2.09,73.91,40.29,9.1,319.1,1.54,9.89,9.99,223.77,82.77,0,13.19,43.21,9.11,118.18,6.75,264.62,9.07,502.47,14.38,11.07,39.7,384.69,10.13,8.79,28.15,0,9.51,69.29,0.7,0,46.03,1.85,0,12.83,3.11,15.6,64.06,8.12,50.66
108-118,22.38,4.03,123.42,59.6,21.35,203.27,3.17,20.01,25.2,181.94,98.67,0,1.81,39.04,12.12,146.96,4.49,499.01,13.99,586.73,20.28,22.43,52.9,443.86,8.4,12.18,22.83,0,18.69,56.63,0,0,67,4.38,0,32.8,3.49,7.74,57.59,15.99,42.03
120,36.39,3.17,247.88,51.28,1.14,147.94,2.07,31.14,33.61,138.87,99.93,5.2,18.47,50.41,9.98,117.5,2.23,302.79,14.27,637.52,0,12.81,84.81,682.29,48.11,16.51,29.04,0,2.54,102.19,2.5,0,66.07,8.44,0,51.27,4.13,7.23,95.29,19.82,26.58
