stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,140.08,2932.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.03,0,0,0,0,0,0,0,0,0,0
  5-6,178.45,3186.88,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.94,18.98,0,0,33.34,0,8.88,0,0,0,0,0,0,0,0,0,0
  7-9,13.04,102.03,0,105.55,0,0,0,261.28,0,0,0,0,0,84.31,0,0,0,0,0,0,0,0,0,0,2145.65,55.74,0,0,837.56,0,0,23.11,0,0,0,0,0,0,0,0,0
 10-12,0,69.81,0,70.1,0,16.1,0,182.05,0,0,0,0,0,10.35,0,0,0,0,0,0,0,0,0,0,1778.4,44.68,0,0,713.12,0,0,5.47,0,69.04,0,0,0,0,0,0,0
 14-21,0,1.44,0,2.66,71.5,20.4,0,38.79,0,0,0,8.58,2.24,1.86,0,0,0,0,0,0,41.61,0,0,20.35,621.96,4.51,1.03,7.07,18.53,0,3.14,0,62.83,0,30.29,174.52,0,0,3,0,0
 24-34,0,0,0.66,1.32,11.77,3.25,0,147.75,0,0,0.68,16.2,0,0,5.25,0,3.24,3.63,3.05,2.13,73.68,0,0,24.2,996.55,0.95,2.42,10.04,0,0,8.7,0,0,0,9.58,171.96,0,0,23.18,0,0.68
 36-46,0,0,0,0,12.55,4.52,0,186.45,0,4.69,0,32.22,11.04,0,2.99,0,0,0,1.53,0.66,77.88,0,0.74,26.04,585.28,1.4,3.05,1.15,0,0,8.45,0,0,0,0,121.64,0,0,5.14,0,4.05
 48-58,0,0,0,0,14.74,3.38,0,203.87,0,6.88,1.87,19.94,0.63,0,1.05,0,0.46,1.62,0.82,0.37,70.46,0,10.51,15,289.98,0,2.79,6.65,3.66,0,2.35,0,0,0,0,48.7,0,0.51,3.51,0,7.01
 60-70,0,0,0,0,17.75,0,0,179.47,0,0.68,0.62,30.61,1.99,0,1.31,2.21,0,0,0.67,1.78,48.83,0,3.48,11.03,203.73,1.42,2.52,0,0,0.66,13.94,0,0,0,0,16.23,0,0,4.91,0,0
 72-82,0,0,0,0.75,6.41,0.76,0,98.24,0,0,6.26,32.42,0,0,3.53,2.38,0.68,1.62,0,1.97,72.56,0,0.72,9.59,154.52,0.58,1.86,2.52,0,0.84,2.68,0,0,1.23,0,12.77,0,1.44,0.74,0,6.19
 84-94,0,0,0,0,10.05,0,0,55.72,0,0,1.21,19.87,0,0,0,3.52,0.89,0,3.99,0,52.3,0,3.84,7.89,115.73,0,0.71,2.66,0,0,12.4,0,0,1.38,0,18.62,0.83,1.8,3.56,2.14,0
 96-106,0,0,1.04,0,7.13,13.5,0,99.11,0,0,1.71,35.43,1.61,0,1.64,1.93,3.41,0,0,1.03,37.83,0,0.93,8.93,117.13,1.57,0,2.87,0,1.36,9.97,0,0,0.69,0,4.69,0.66,1.94,10.26,0.62,0
108-118,0,0,0,0,7.24,4.51,0.46,74.1,1.35,0.6,1.36,28.83,4.03,0,0,0.41,1.38,1.23,0,0.71,57.13,0,0,9.07,180.12,0,2.58,6.01,0,8.67,4.92,0,0,0,0,12.4,0.58,0,7.42,0.72,0
120,0,0,0,0,12.03,4.89,0,52.67,0,0,0,54.27,0,0,1.15,0,2.4,9.03,1.76,0,80.55,1.49,2.76,16.67,160.14,0,4.48,6.49,0,2.67,7.58,2.5,0,0,0,23.37,0,0,0,0,0
