stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.33,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,5.14,2.98,0,0,0,0,0,0,2.36,0,0,0,0
 24-34,1.58,0.7,2.84,0,0,2.83,0,0,0,1.25,0,0,0,0,0,0,0,0.73,0,0,0,167.13,13.12,0,0,0,0,0,0.61,18.68,0,0,0,0
 36-46,0.98,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481.31,5.52,0,0,0.68,0,9.99,0,45.1,0,0,0,0
 48-58,1.1,0,0,0,0,16.05,6.79,0,0,7.35,0,0,0,0,0,0,0,4.89,0,0,0.74,566.55,6.75,0,0.6,0,0,3.04,0,76.88,0,0,0,0
 60-70,0,5.27,7.06,0,0,71.29,0,0,1.24,0,0,0,0,0,0,0,0,5.79,1.09,0,0,1110.82,13.2,0,0.58,0,0,5.6,0,48.27,0,0,0,0
 72-82,0,1.4,13.49,3.17,0,285.36,0,0,0,18.2,0.88,1.84,4.91,2.12,2.68,0,2.67,42.93,0.66,6.54,5.8,1892.45,4.68,0,1.26,0,0,6.31,0,102.2,0,4.47,1.51,22.84
 84-94,0.66,1.36,3.43,0.75,0,170.46,0,0,1.88,23.78,0.69,0,6.73,0,1.69,0,0,4.12,0,0.63,0,1115.28,4.61,0,0,0,0,0,0,78.07,0,0,0,2.99
 96-106,2.83,0,4.31,12.8,0.98,279.82,0,0,0,69.86,2.21,0,0,0,0,0,0,7.63,0,7.85,8.91,1322.2,1.67,1.51,0,5.3,3.39,3.9,0,64.88,0.81,6.95,1.22,3.35
108-118,0,13.35,31.72,0,0,574.51,0,0.55,0,28.5,0.43,0,0,0.66,0,4.33,0,21.74,2.25,0,1.62,2117.09,8.36,1.58,0.78,3.41,0,1.91,0,46.63,0,4.35,0,4.18
120,0,1.28,12.38,1.27,0,465.66,0,0,2.6,27,2.12,0,0,0,0,0,0,19.16,3.25,14.27,3.2,2578.66,2.55,0,3.1,5.26,2.5,0,0,34.48,0,12.79,0,3.58
