stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord
  3-4,89.36,1032.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.33,0,0,0,0,0
  5-6,35.82,327.98,0,0,0,0,0,0,0,0,0,37.06,0,0,0,10.37,0,0,0,0,0,0
  7-9,7.01,4.19,0,0,0,8.01,0,0,0,0,0,47.53,0,0,0,8.74,0,28.24,0,0,0,0
 10-12,0,11.65,0,0,0,0,0,0,0,0,0,122.11,6.39,0,0,9.59,0,6.03,0,0,0,0
 14-21,0,0,0.83,2.1,1.15,3.49,0,0,0,0,3.99,32.19,0,0,0,1.88,0,7.47,0.95,0,1.04,12.32
 24-34,0,0,0,0,0,2.09,0,0.6,0.84,0,2.03,42.96,0,0,0,0,5.14,1.72,0,0.76,0.75,15.65
 36-46,0,0,0,0,0,4.4,0,2.02,0.58,0,0,34.21,0,1.06,0,0,0,4.49,0,0,0,6.63
 48-58,0,0,0,0,0,5.34,0.41,0,1.62,0,0,24.53,0,0,0,0,0,0.56,0,0,0,5.68
 60-70,0,0,0,6.11,0,16.55,0,4.82,0.63,0,0,21.03,0,0,0,0,0,1.49,0,0,0,0.92
 72-82,0,0,0,0,4.18,23.43,0,0.8,1.9,0,0,20.96,0,0,0,0,0,1.41,0,1.5,0,5.06
 84-94,0,0,0,0.66,0,5.61,1.27,2.25,1.09,1.94,0,2.86,0,0,0,0,0.61,0,0,0,0,4.51
 96-106,0,0,0,0.6,0,2.33,0,0,1.98,0,1.56,11.91,0,0,0,0,0,4.18,0,0,0,0.78
108-118,0,0,0,0,0,5.41,0,4.05,1.15,0,0.87,7.25,0,0,1.45,0,0,3.88,0,0,0,0
120,0,0,0,8.05,0,0,0,18.52,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0
