stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.38,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.73,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.01,0,0,0,53.88,0,0,0,0,0,5.3,0,0,0,0,0,0
 14-21,2.31,0,0,0,17.55,1.73,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,2.78,0,0,66.4,157.13,10.17,0,0.94,9.93,0,1.55,25.06,4.27,137.55,1753.21,61.48,0,0,0,0,1.92
 24-34,0,0,0,0,8.74,0,0,14.22,203.75,7.13,0,3.73,0,0,0,0.72,0,0,0,3.15,9.41,0,0,103.15,240.99,1.47,0,1.77,0,0,13.16,0,0,232.71,796.54,55.94,0,0,10.03,0,0
 36-46,0,0,0,0,1.32,0,0,14.08,382.48,0,0,3.21,0,0,0,0,0,0,0,0,10.75,0,0,76.61,134.06,0,1.52,1.05,0,0,12.17,0,4.74,402.47,35.73,52.16,0,0,0,0,3.02
 48-58,0,0,0,0,4.83,0,0,57.94,488.91,0.37,2.71,9.96,0,0,0,0,0,0,8.89,0,29.94,1.06,0.46,90.73,224.04,0.5,0.65,2.21,0,0,3.74,0,0.74,371.75,0.55,61.14,0,0,3.7,0,21.13
 60-70,0,0,0,0,15.12,0,0,49.43,299.79,0,0.8,11.64,1.84,6,0,0,5.99,0,0,0,10.59,1.83,5.2,102.43,194.41,0,0,2.02,0,0,15.82,1.38,0.6,235.17,0,13.01,0,0,0,0,14.17
 72-82,0,0,0.64,0,5.85,7.39,0,74.83,199.22,0,0,8.31,0,0,0,0,0,1.85,0,0,27.06,4.17,8.66,73.19,129.56,0,0,3.03,0,0,5.31,0,0,132.2,0,8.94,4.77,0,6.45,0,33.01
 84-94,0,0,0,0,1.27,4.63,0,31.36,343.82,0.63,0,22.4,5.22,0,7.66,0,0.75,0,3.42,0.95,27.98,0,0,74.62,76.75,0,0.56,0,0,0,13.12,0,0,259.78,0,17.14,0,1.21,1.87,0,1.57
 96-106,0,0,0,0,14.08,20.24,10.73,95.33,563.16,0,1.88,18.81,1.78,0,8.18,0,0,0,8.9,6.59,58.17,0.7,1.25,92.45,137.37,0,4.42,0.67,0,0,15.84,0,1.1,265.99,0,6.48,0,1.3,6.76,2.81,0
108-118,0,0,0,0,1.58,3.13,0.81,49.91,461.1,1.87,0,11.31,0.74,0,2.41,0.42,0.89,0,5.16,8.34,51.4,4.79,0,138.67,106.15,0,0,1.19,0,0,7.84,0,0,235.91,0,0.89,0,0,1.95,0,4.3
120,0,0,6.58,0,0,2.5,0,37.91,288.28,0,0,13.43,0,4.21,4.26,0,0,0,1.84,1.64,22.42,0,0,143.47,65.97,3.89,1.26,0,0,19.72,1.1,2.24,0,64.57,0,0,0,0,0,0,0
