stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,234.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.46,222.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,52.42,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,19.85,0,64.12,0,0,0,13.41,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,251.56,32.6,0,0,128.85,0,0,19.77,0,0,0,0,0,0,0,0,0
 10-12,0,43.15,0,69.45,0,0,0,71.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990.08,108.99,0,0,395.19,0,0,0,0,97.11,0,0,6.57,0,0,0,0
 14-21,0,0,0,0.94,24.9,17.77,0,4.78,0,0,118.91,0.97,0,0,0,0,0,0,26.15,0,0,5.03,278.02,4.04,6.75,46.78,33.8,0,0,0,31.39,180.51,0,4,454.4,0,0.83,0,0
 24-34,0,0,0.61,0,6.03,0,0,8.69,0,0.79,137.88,0,0,0,0,0,3.55,0.95,13.99,0,0,2.52,241.94,0.7,46.15,5.99,0,0,0,0,0,50.13,0,9.6,271.31,0,0,0,0
 36-46,0,0,0,0,1.89,0,0,5.05,0,2.07,85.24,0,0,0,0,0,0,0,6.41,0,0,3.51,279.73,1.19,50.82,1.52,0,0,3.17,0,0,40.79,0,0,189.65,0,0,0,0
 48-58,0,0,0,0,0.82,0,0,15.89,1.05,0.43,65.47,0,0,0.41,0,0,0,0.69,7.05,0,1.57,0,158.62,0,37.83,1.69,0,0.46,0,0,0,7.4,0,0,127.52,0,0,0,0
 60-70,0,0,10.54,0,5.38,0,0,11.99,0,0.8,37.91,0,0,0,0,0,3.45,0,6.88,1.53,0,0,89.67,0,17.17,2.21,0,0,0,0,0,0.71,0.86,0,60.37,0.65,0,0,3.05
 72-82,0,0,1.04,0,5.11,0,0,17.1,0,0.64,38.83,0.88,0,0,0,0,0.62,0,5.88,0,0.51,0,91.2,0,25.06,4.55,0,2.26,0,0,0,2.38,2.68,0,22.24,0,0,1.5,0
 84-94,0,0,4.18,0.74,7.11,0,0.59,27.05,0,0,36.52,0.63,0,0.6,0,0,5.28,0,4.68,0,0,0,91.8,0,63.67,14.55,0,0,1.59,0,0,6.24,0,0,39.16,0,0,0,0
 96-106,0,0,0,0.64,5.4,0,0,11.56,0,0,31.62,4.83,0,0,0.63,0,8.45,0,17.5,0,0,0,93.34,0,57.35,18.79,0,0,4.9,0,0,3.01,0,0,23.26,0,0,2.49,0
108-118,0,0,0.71,2.25,2.18,0,0,16.91,0,0,33.21,0.81,0,0,0,5.25,3.64,0,4.84,0,7.33,0.49,106.72,0,43.49,23.06,0,1.23,2.43,0,0,5.84,0,0,13.95,0,0,0.72,0
120,0,0,0,0,1.1,1.01,0,34.37,0,0,19.84,0,0,0,0,0,9.82,0,20.13,0,2.47,2.81,153.83,0,57.39,23.79,0,0,0,0,0,0,0,0,22.06,0,0,5.9,0
