stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,17.14,0,0,0,0,0,0,0,1.72,0,0,0,0,0,2.6,56.17,0,0,0
 24-34,2.4,0,0,0,0,11.4,0,0,0,0.62,1.94,0,0.61,9.89,0,0,0,0,0,0,92.63,0,2.84,0
 36-46,0,0,2.24,0,0.6,6.76,0,0,0,0,0.74,0,1.83,14.82,0,0,0,0,0,0,61.01,0,0,0
 48-58,0,0,1.76,0,1.34,7.14,0,1.35,0.39,0,5.19,0,1.89,18.35,2.54,0,0,0.66,0,0,72.64,0,0,0
 60-70,0,0,2.43,0,0,17.77,0,2.22,0,0,13.55,1.92,3.17,4.44,0,0,0,0,0,0,44.15,0,0,0
 72-82,7.34,0,3.22,0,0,32.72,0,10.69,0,0,36.83,0.93,0.54,3.48,0.56,0,0,0,0,0,75.29,1.46,0,0
 84-94,0,0,0.73,0.66,5.59,21.07,0,6.49,0.82,0,43.07,4.05,0,14.91,0,0,0,0,3.02,0,56.74,0,0,3.48
 96-106,0.66,0,5.39,2.75,2.99,66.82,0.7,8.46,1.32,0,44.25,12.44,2.65,12.87,0,0,1.8,0.8,1.63,5.4,95.68,0,0.8,0
108-118,1.4,1.21,3.91,0.5,0,26.26,0,5.78,0,0,51.37,6.35,0,10.67,0,0,7.44,0,0.53,0.6,49.01,0,0.51,1.44
120,1.15,0,0,0,0,35.58,0,0,0,0,85.61,8.3,0,0,0,0,3.42,0,0,0,42.96,0,0,0
