stage,eye,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,somites,spinal.cord,xanthophores
 10-12,0,0,0,0,0,12.03,0,0,0
 24-34,0,0,0,1.27,1.06,0,1.12,0,0
 36-46,0,0,0,1.98,0,0,0,0.63,0
 48-58,0,0,0,6.16,0,0,0,0,0
 60-70,3.34,0,0,0,0,0,0,3.51,3.87
 72-82,0,0,0.57,3.82,0.74,0,0,0,0
 84-94,2.66,0,0.65,0,0,0,0,0.81,0
 96-106,0.72,0.58,0,0,0,0,0,0,0
108-118,0,0,4.43,0,0,0,0,0,0
