stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.39,369.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.64,0,0,0,0,0,0,0,0
  5-6,48.67,399.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.66,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.31,3.34,0,0,35.56,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.04,0,0,9.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26,18.01,0,0,0,0,0,0,0,0.99,0,0,0,4.33,0,0
 24-34,0,0,0,0,0,0,0,43.9,0,0.62,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0.75,0,0,0.69,0,0,0,0,0,0.76,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,180.26,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,68.82,0,0,0,0,0,0,0,0,0,0.59,0,0,1.27,0,0,3.43,3.52,0,0,0,0,0,0,0,0,2.59,0,0,0,0,0
 60-70,0,0,0,0,3.53,1.64,0,8445.92,0,0,13.01,22.97,1.86,0,0,0,1.09,0,8.17,0,24.77,0,0,2.75,61.62,0,0,1.18,0,0,16.72,11.68,0,0.8,0,0,0.72,0,0
 72-82,0,0,3.92,0,155.31,91.71,0,39259.27,11.51,20.99,13.69,169.53,6.13,2.14,15.06,2.58,36.55,5.35,38.33,14.79,267.64,5.06,20.98,25.99,823.93,2.45,14.23,14.36,0,3.81,74.69,0,2.66,129.36,11.63,3.77,38.22,9.26,57.26
 84-94,0,0,1.39,0,233.18,39.49,0,44757.4,7.25,6.29,21.03,74.09,4.4,1.41,6.49,2.88,12.07,0.69,7.36,0.96,151.44,7.23,21.39,23.61,465.94,11.06,0.93,1.75,0,1.31,58.02,1.47,0,54.58,7.09,1.28,32.56,2.32,3.85
 96-106,2.68,0,1.41,0,178.7,153.67,0.62,53455.16,37.3,36.59,16.48,191.6,16.2,8.47,21.76,6.82,23.78,6.47,43.31,8.61,262.69,9.41,6.68,24.47,974.26,0.68,19.56,23.08,0,2.45,162.91,4.08,23.6,56.42,1.42,9.41,53.34,8.12,57.22
108-118,9.99,0,1,0,89.6,64.49,12.51,46389.29,10.03,18.9,36.81,129.78,18.98,0.49,20.46,5.04,5.66,5.52,20.35,13.42,424.08,12.9,17.5,30.19,1275.8,4.44,13.31,8.43,0,3.98,133.65,0.55,3.74,31.09,7.98,6.8,33.81,14.69,19.75
120,0,0,0,0,112.59,139.84,21.16,45960.14,0,8.34,11.76,177.31,12.55,0,6.29,5.99,0,2.05,31.17,11.42,320.56,9.53,3.34,18.9,1281.23,9.89,9.36,33.69,0,0,48.85,1.62,4.38,46.78,18.77,6.02,13.88,15.46,14.13
