stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,0,42.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.85,53.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39,0,0,0,0,0,0,0,0,0,0
  7-9,5.24,0,0,5.59,0,0,4.04,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,23.92,0,0,3.46,0,0,0,0,0,0,0
 10-12,0,11.73,0,8.97,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.87,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.8,5.9,1.83,4.09,0,0,2.17,0.98,0,0,0,0,0,0,0,5.06,0,0.84,25.96,0,1.83,0,0,2.75,0,5.88,8.1,0,0
 24-34,0,0,0,0,1.68,1.27,4.22,0,0,1.64,0.92,0,0,0,0,0,1.97,0,5.33,0,0,41.2,0,0.6,0,2.05,0,0,0,17.45,0,2.41
 36-46,0,0,0,0,2.28,6.02,3.48,0,0,0.79,0,0,1.45,0,0,0,0,0,8.35,0,0,11.9,1.54,0.57,0,12.71,0,0,0,2.8,0,11.12
 48-58,0,0,0,0,0.37,0,6.83,0.37,0,0.57,0,0,0,0,0,0,0,0,7.51,0,3.4,32.9,0,0,0,3.59,0,0,0,2.5,0,0.45
 60-70,0,0,0,0,0,0,6.04,0,0,1.86,0,0,0,0,0,0,0,0,0.86,0,2.95,13.81,0,0,0,0.61,0,0,0,9.07,0,1.49
 72-82,0,0,0,0,0,0,14.93,0.5,1.7,4.74,0,0,0,0.51,0.93,0,0.95,0.64,3.91,0,0,20.04,1.49,0,0,0,0,0,0,0.84,0,4.13
 84-94,0,0,0,0,2.42,0,6.79,0,0,1.26,0,0,0,0,0,0.62,0,0,4.39,0,0,6.74,3.59,0,0,0.69,0,0,0,0,0,0
 96-106,0,0,1.1,0,0.6,0,12.46,0.9,0,6.66,0,0,0,0.83,0.9,0,0,0,6.92,1.49,0,13.1,3.06,0,0,2.88,0,0,0,1.22,0,6.46
108-118,0,0,0,0,3.6,0,1.78,0,0,3.34,0,0,0,1.17,0,0,0,3.09,1.83,0.69,0.83,6.94,1.23,0,0,1.24,0,0.51,0,0,2.47,0.91
120,0,0,0,0,0,0,0,6.38,0,2.76,0,0,0,0,0,0,0,0,5.98,0,0,9.92,0,0,0,0,0,0,0,0,0,9.42
