stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.02,30.09,0,0,0,0,0,0,0,0,0,0,0,0,0,47.07,0,0,0,0,0,0
  5-6,8.35,73.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.58,8.24,0,0,0,0,0,0,0,0,29.5,19.05,0,0,36.21,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,26.93,0,0,0,7.21,0,0,0,0,0,0,0
 14-21,0,0,1.71,8.25,0,0,0,0,0,0,104.26,0,0,0,0,0,0,0.82,46.4,0,0,0
 24-34,0,0,1.52,0,0,0,0,0,1.44,0,295.44,0,0,1.08,0,0,0,0,56.78,0,0,0
 36-46,0,0,6.03,0,6.63,0,0,0.93,0,0,510.28,0,0,0,0,0,0,0,36.27,0,0,0
 48-58,0,0,2.82,0,26.34,0,0.99,0,0.92,0,462.5,0,0,0,0,0,0,0,7.21,0,0,0
 60-70,0,0,0,0.78,81.36,0,1.4,0,4.53,0,323.08,0,0,0,0,1.25,0,0,54.17,0,0,0
 72-82,0,0,0,0,112.54,0.9,0,0,0,0.84,252.86,0,0,0,0,0,0,0,102.84,0,0.75,0
 84-94,0,0,0,0,61.38,0,8.61,0,3.05,0,234.43,0,0,0,0,0,0,0,39.82,0,0,0
 96-106,0,0,0,2.36,109.28,2.29,0.75,0,7.71,0,293.67,0,0,0,0,0,0,0,4.06,3.92,0,0.85
108-118,0,0,0,0,382.37,0,0,0,8.18,0,289.96,0,0.95,0,0,0,0.58,0,8.87,0,0,0
120,0,0,0,0,162.84,5.39,3.32,3.61,5.25,0,503.66,0,0,0,0,0,0,0,13.43,0,0,0
