stage,axial,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,11.49,8.92,0,0,1.1,0,811.73,0,0,0,0,0,0,0,24.57,0,0.96,0,22.92,6.79,11.4,30.25,9.42,0,0,0
 24-34,0,0.92,0,0,2.29,0,0,73.8,0,0,0,0,0.76,0,0.66,21,12.5,0,0,49.78,0,1.16,6.72,2.55,1.66,0,0
 36-46,0,0,0,0,0,0,0,0.77,0,0,0.86,6.53,1.52,0,0,8.86,60.68,0,0,27.13,0,0,0,38.33,1.09,0,0
 48-58,0,0,0,2.02,0,0,0,0,0,0,0,20.81,1.6,0,2.34,66.5,65.55,0,0.65,8.96,0,0,0,19.18,0.51,0,0
 60-70,0,2.67,0,4.74,0,0,0,0,0,0,0,22.58,0,0,0,41.35,42.94,0,0,3.19,0,0,0,7.61,0,0,0.72
 72-82,0,0,0,39.51,0,0,0,0,0,1.88,0,133.49,2.57,0,3.82,16.24,37.65,2.14,0,3.64,0,0,0,9.88,0,0,0
 84-94,0.62,1.18,0,80.73,0,0,0.86,0,0,1.08,1.13,85.31,1.51,0,1.72,0,55.78,0,0,5.25,0,0,0,5.41,0,0,1.61
 96-106,0,2.62,10.29,16.16,0,0,0,0,0,0,0,159.23,0,0,0,9.87,85.34,0,0,4.7,0,0,0,0,0,0,0
108-118,0,0,0,22.87,0.48,1.25,0,0,3.44,0,0,161.03,1.09,0,0,29.01,49.33,1.43,0,6.52,0,0,0,0,2.32,0,4.59
120,25.93,0,0,56.01,0,0,0,0,0,0,0,524.16,0,6.81,0,18.09,60.32,8.23,0,3.1,0,0,0,0,5.29,1.45,37.36
