stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,61.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.21,0,24.68,0,0,0,18.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.9,0,0,0,444.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.15,0,4.52,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,206.42,4.32,0,0,763.62,0,0,0,59.09,0,5.96,0,0,0,0,0,0
 14-21,0,0,0,1.88,2.37,1.01,0,0.87,0,0,0,0,5.62,0,0,0,45.58,0,0,0,3.91,2.43,0,4.02,25.24,0,0,0,1.08,0,0,37.93,90.4,18.75,66.84,3.84,0,0,0,0,0
 24-34,0,0,0,4.3,1.2,0,0,4.94,0,0,0,0,4.44,0,11.27,0,19.11,0,1.12,4.03,2.16,1.67,0,3.28,104.29,0,15.76,1.09,0,0,0,0,67.35,45.15,5.31,24.05,0,0,0,0,0
 36-46,0,0,0,0.56,5.82,0,0,18.42,8.5,0,0,1.23,2.56,0,3.16,0,43.82,0,0,0.62,1.9,0.81,0,6.48,358.46,0,33.45,6.21,0,0,0,0,38.98,53.28,2.35,91.98,0,0,0,0,0
 48-58,0,0,0,0,5.1,0,0,62.82,5.06,0,0,4.29,0,2.63,5.84,0.85,14.96,0,1.18,0,3.63,7.5,0,10.07,618.34,0,12.98,3.45,0,0,0,0,11.28,31.71,0,114.96,0,0,0.82,0,0
 60-70,0,0,0,0,10.19,0.59,0,250.04,5.91,1.96,0.84,2.21,1.24,0,0.61,0,29.24,23.47,0,2.25,7.16,0.79,0,3.59,1276.94,0,14.9,8.14,0,0,3.2,0,20.54,8.15,0,204.17,0,0,0,0.64,11.66
 72-82,0,0,0.5,0,15.73,1.05,0,284.86,2.26,0,0,11.76,2.53,0,5.93,0,25.32,0,0.76,0,13.48,2.59,2.23,1.4,1011.62,0,9.92,11.64,0,0,4.76,0,8.22,14.07,0,139.9,0,0,0,0,4.75
 84-94,0,0,0,1.01,9.11,0,0,370.61,10.46,1.91,0,11.14,7.26,0,0,0,24.45,0,0,11.02,5.36,1.95,0,8.42,613.32,0,16.53,22.3,0,0,2.62,0,24.25,2.76,0,101.84,0,0,1.56,0,0
 96-106,0,0,0,0,0.97,0,0.6,246.34,1.73,0,10.74,16.78,6.41,0,0,0.73,38.06,0.99,1.1,3.12,16.12,0.78,0,5.94,474.44,0,13.95,12.51,0,5.34,24.71,0,15.82,5.35,0,45.49,0,0,0,0,6.32
108-118,0,0,0.85,0,13.75,2.09,0,279.98,3.92,0,4.01,17.11,4.88,0,0,1.23,28.61,0,0,4.52,8.15,1.38,1.58,3.2,532.38,0,17.43,22.22,0,4.21,17.19,0,14.48,6.89,0,28.44,1.98,0.41,1.57,1.22,0
120,0,0,0,0,44,0,0,279.71,8.67,0,0,41.36,9.3,0,1.85,11.47,26.55,7.72,12.16,11.25,41.29,1.56,2.13,1.15,1169.94,0,15.76,14.82,0,0,11.31,0,24.9,2.35,0,54.44,0,0,0,0,0
