stage,eye,glial,melanocytes,mesenchyme,mural.cell,neural,spinal.cord
 14-21,0,0,0,0,0,0.89,0
 24-34,0,0,0,0,0,1.24,0
 36-46,0.95,0.58,0,0,0,3.5,0
 48-58,1.86,0,0.48,0.45,0,3.33,1.36
 60-70,1.07,0,0,0,0,9.14,0
 72-82,0.83,0,0,0,0,3.12,0
108-118,0.72,1.56,0,0,0,6.89,0
120,0,0,0,0,8.06,1.94,0
