stage,eye,mesenchyme,neural,olfactory,periderm,spinal_cord
 24-34,0.79,0,0,0,0,0
 36-46,0,0,11.17,8.01,0,1.27
 48-58,0,0,0,0.5,0,0
 60-70,0,0,1.68,13.45,0,0
 72-82,6.89,1.16,0,0.84,0,0
 84-94,0,0,0,21.23,1.38,0
 96-106,5.04,0,0,3.27,0,0
108-118,0,0,1.9,58.71,0,0
