stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,346.22,7656.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448.08,0,0,0,0,0,0,0,0,0
  5-6,196.47,2486.79,0,10.26,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,67.08,0,0,13.07,6.27,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.48,0,0,5.4,0,0,0,0,6.27,0,0,0,0,0,0,0,0,0,147.66,11.06,0,36.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.28,0,25.47,0,0,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.29,0,0,18.04,0,5.33,0,7.88,0,0,0,0,0,0
 14-21,0,0,0,3.05,6.92,2.73,0,0,0,0,0.85,0,3.53,0,0.9,0,0,8.78,0,0,7.91,14.23,2.16,0,0,0.91,3.52,3.76,0,24.74,8.12,2.76,0,0,0
 24-34,0,0,0,0.6,0,0,0,0,0,0,4.38,0,0.6,0,2.97,0,0,13.21,0,0,8.79,8.71,0,0,0,0,0,0,0,2.02,0,1.82,0,0,0
 36-46,0,0,0,0,0.65,0,0,0,0,0.83,0,0,1.33,0,0,0,0,6.07,0,0.86,1.24,4.52,1.03,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.6,1.87,0,0,0.38,0,0,0,0.86,2.27,0,2.43,2.37,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,14.06,0,0,0,1.52,0,0,0,8.8,0,0,0,0,0,0,11.57,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,6.5,0,0,0,8.28,0,0,0.76,20.22,0,0,0,0,0,0,3.79,0,0,1.47,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,11.92,0,0,0,3.77,1.34,0,0,77.19,0,1.22,0.99,1.18,0,1.67,12.01,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0.84,0.6
 96-106,0,0,15.63,0,0,0,22.61,0,0,2.99,162.71,0,0,0,0,0,4.97,13.04,0,0,7.55,25.49,0,0.66,0,0.86,0,0,0,0,0,1.76,0,0,0.76
108-118,0,0,15.96,0.74,2.43,0.59,2.14,0,0,8.32,171.55,0,0,0,0,2.04,3.06,11.52,1.09,0,0,24.47,0,0,0,0.71,0,0,0,0,0,0,1.78,0,2.16
120,0,0,17.18,0,0,3.81,0,0,0,2.43,106.2,0,0,0,0,0,15.61,11.77,0,0,0,33.82,0,0,0,4.27,0,0,0,0,0,0,0,0,3.15
