stage,blastomeres,endocrine_pancreas,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0,48.92,0,0,0,15.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.23,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,3.88,18.43,0,0,0,0,0,0,1.75,0,0,1.72,4.75,0,0.89,0,0
 24-34,0,0,0.69,6.81,0,0,3.7,0,0,0,0,0,0,0,0,0,11.07,0,0,2.58,58.98,0,0,2.68,0,0,6.15,0,0,0,0,11.47,0,0.77,0,0
 36-46,0,0,2.04,14.13,0,0,0,0,0,0,0,8.6,0,4.32,0,0,2.27,0.63,0,1.72,71.99,0,5.18,0.89,0,0,1.84,0,0.94,1.56,1.34,10.16,0,0.65,0,0
 48-58,0,0,5.22,19.09,0.99,0,3.17,0,0,0.67,0,0,0,1.59,0,0.79,3.68,0,0.77,2.05,52.23,0,0,0.4,0,0,7.84,0,0,0,0,26.32,0,0,0,0
 60-70,0,0,0,47.95,0,1.7,2.58,0.64,0,0,3.92,0,0,0,0,0,1.9,0,0,0,89.36,0,0,0,0,0,4.08,0,0,0,0,1.59,0,8.19,0,0
 72-82,0,0.97,1.98,44.76,1.95,0,7.03,0.77,0,0,0,0,0,0,0,1.79,15.86,0,6.44,0,78.59,0,1.63,0,0,0,0.59,0,0,0,0,2.55,0,6.25,0,0
 84-94,0,0,0,33.96,0,0,4.89,0.64,0,0,0,0.75,0,0,3.68,0,0,0,0,2.29,21.6,0,1.13,0,0,0,1.29,0,0,0,0,0,0,1.8,0.64,0
 96-106,0,1.37,0,16.16,0,0,3.35,0,0,0,0.58,0,0.6,1.07,0,0,6.48,0,0,0,18.01,0,0,0,0,0,2.19,0,0,0,0,1.91,0,0,0,0
108-118,0,0,0.46,9.24,0,1.34,2.99,0,0,0,0.44,0.45,1.26,0,0,1.99,8.48,0,0.56,0.79,46.86,0,0,0,0,0,2.23,0,0.81,0,0,1.2,0.5,0.86,6,1.5
120,0,0,4.74,13.13,0,0,0,0,0,0,0,1.25,0,0,0,0,12.81,0,0,2.34,108.54,1.94,1.26,0,0,13.5,5.38,0,0,0,0,0,0,0,0,2.85
