stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,gut,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,xanthophores
  3-4,13.35,43.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0
  5-6,0,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,0,0,0,0,0,3.23,0,0,0,0,0,0,16.47,14.14,0,0,3.36,4.34,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.67,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,1.81,1.93,0,0,0.93,0,0,0,0,2.06,1.16,1.78,0,0,0,0,0,0.99,1.04,0.85,0
 24-34,0,0,0,0.68,0,0,0,0,0,1.75,0,0,2.13,1.73,4.88,0,1.82,0,0,0,0,0,0,2.56
 48-58,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,3.41,0,0,0,0,0,0,0,0.92,0
 60-70,0,0,1.64,0,0,0,0,4.92,0,9.41,0,0,1.69,0,4.62,0,0,0.84,0,0,0,0,8.57,0
 72-82,0,0,10.12,0,0,0,0,2.9,0,17.96,0.79,0,1.81,0,7.45,4.45,0,0,0,0,0,0,0,0
 84-94,0,0,1.44,0,0,0,0,7.77,1.06,13.17,0.74,0,1.3,0,3.52,0,0,0,0,0,0,0,3.72,0
 96-106,0,0,7.63,0,0,0,0,1.32,0,32.89,1.58,0,0.67,0,5.35,0,0,0,0,0.94,0,0,0,0
108-118,0,0,11.3,0.49,0,0,1.01,1.96,0,42.06,1.12,0,2.02,0,15.15,0,0,0,0,0,0,0,0,0
120,0,0,1.37,0,0,2.67,0,3.37,0,15.82,0,9.24,0,0,14.22,0,0,0,0,0,0,0,0,0
