stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,54.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.51,47.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,0,0,0,0,0,0,0
  7-9,0,3.29,3.5,0,0,0,9.64,0,0,0,0,0,0,0,0,0,0,0,54.04,0,0,0,20.24,0,4.57,0,0,0,0,0,0,0,0
 10-12,0,4.21,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,42.62,0,0,0,58.46,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.03,1.07,0,0,0,0,1.9,0,0,0,0,0,0,0,2.22,34.39,0,0,0.8,0,0.95,0,1.32,6.83,15.28,0,0,0,0,0
 24-34,0,0,0,2.37,0,0,11.07,0,0,0.64,0,0,0,0,0,5.49,0,5.02,86.37,0,1.57,0,0,4.41,0,0.85,0.74,25.65,0,0,3.4,0,0
 36-46,0,0,0,0,0,0,18.58,2.87,3.04,1.41,0,0,0,0,0,12.3,0,1.52,74.23,0,0,1.13,0,7.6,0,0,0,35.89,0,0,0,0,1.19
 48-58,0,0,0,0.43,0,0,30.5,0,0.64,4.11,0,0,0,0.43,0,9.9,0.39,0,68.41,5.29,0,0.38,0,0.38,0,0,0,29.02,0,0,1.09,0,0
 60-70,0,0,0,1.76,0,0,33.16,0,0,7.04,0,0,0,0,0,9.88,0,2.14,51.97,0,0,0.69,0,13.24,0,0,0,3.79,0,0,0,0,0
 72-82,0,0,0,2.83,0.53,0.76,28.85,0,0,5.8,0.81,0.59,0.69,1.42,1.56,11.88,0,1.41,40.81,0,0,1.63,0,0.51,0,0,0,3.33,0,0.51,0,0,5.09
 84-94,0,0,0,0.59,0,0,17.62,0.86,1.43,1.21,1.33,0,0,0,0,5.03,0,1.47,49.16,0,0,0.73,0,3.21,0,0,0,2.24,0,0,0.78,3.07,0
 96-106,0,0,0,0,11.67,0,15.23,0,0,4.6,0,0,0,0,0,8,1.06,1.06,56.92,0,0,0,0,6.17,0,0.58,0,7.42,0,0,2.85,1.96,0
108-118,0,0,0,1.48,0,1.04,21.68,0.47,0,1.84,0,0,0,3.69,0,7.96,0.98,0,37.91,0,0.6,0,0,0.42,0,0,0,0,0.44,0,0,0,0
120,0,0,0,0,0,0,21.87,0,0,0,0,0,5.74,0,0,45.51,0,0,22.64,0,2.4,0,0,1.34,0,0,0,0,0,0,0,2.64,0
