stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,189.49,3108.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.75,0,0,0,0,0,0,0
  5-6,86.19,2377.88,0,0,0,0,0,0,0,0,0,0,24.34,0,0,0,0,0,63.41,0,0,0,14.61,14.38,0,0,0,0,0,0,0
  7-9,0,7.09,0,13.96,0,0,0,30.24,0,0,0,0,6.35,0,0,0,0,0,337.11,13.38,0,0,58.21,0,7.8,0,0,0,0,0,0
 10-12,0,6.68,0,43.57,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,142.81,5.8,0,0,33.7,4.24,15.94,0,0,0,0,0,0
 14-21,0,0,0,1.69,7.2,2.05,0,0,0,0,0,0.87,0,0,0,0,0,5.36,4.52,0.81,0,0,0,32.54,1.23,1.31,0,1.17,1.09,0,0
 24-34,0,0,0,0,2.35,0,0,0,0,0,0.61,1.88,0,0,0.67,1.53,0,0.97,6.06,0,1.25,0,0,6.37,0,0,0,0.85,1.34,0,0
 36-46,0,0,0,0,4.38,0,0,0,0,0,0,0,0,0,2.66,0,0,0,17.72,0,0,0,0,0,1.59,0,0,0,0,0,0
 48-58,0,0,0,0,0.77,0,0,3.07,0,0,0,0,0,0,0,0.98,0,0,13.01,0,0,0,0,3.61,0,0,0,0,3.14,0,0
 60-70,0,0,0,0,0.71,0,0,6.46,0,0,0.84,1.11,0,0,0,0,0,0,28.8,0,0,0,0,7.56,0,0,0,0,7.52,0,0
 72-82,0,0,0,0,1.41,0,0,1.98,1.71,0,0,0,0,0.5,0,0.52,0,0,15.89,0,0,0,0,27.06,0,0,3.12,0,0,0,0
 84-94,0,0,0.73,0,4.32,0,0,3.35,0,1.71,2.27,0,0,0,0,0,0,0,38.08,0,0,0,0,63.73,0,0,0,0,0,1.17,0
 96-106,0,0,0,0,3.66,9.28,0,0.96,0,1.34,0,0,0,0,0,1.85,0,1.84,5.88,0,0,0,0,97.87,1.62,0,2.38,0,0,0,2.56
108-118,0,0,0,2.21,7.31,0,0,11.13,0,0.93,0.99,0,0,0.7,0,0,0,2.51,47.78,0,0,0.42,0,64.92,1.22,0,2.72,0,0,0,0
120,0,0,0,0,5.11,2.53,2.59,1.97,0,0,0,0,0,0,0,1.1,1.1,0,30.36,0,2,2.09,0,34.12,0,0,0,0,0,0,0
