stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,54.9,1635.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,45.16,429.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.8,0,0,61.81,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,251.25,4.58,0,0,17.17,0,0,7.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,38.72,0,25.53,0,0,119.11,0,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,0,1377.12,16.86,0,0,160.27,0,5.41,19.29,0,13.07,0,7.28,0,0,0,0,0,0
 14-21,0,0,2.17,5.97,44.05,21.06,11.56,0,0,0,5.93,3.57,0,3.49,0,0,0,0,0,1.25,47.1,0,29.42,195.13,1.29,0.98,0.88,0,0,0,6.89,6.4,1,0,41.33,97.03,0,0,5.2,0,0
 24-34,0,0,3.31,2.67,16,3.61,23.86,0,0,0.61,7.99,0.91,0,6.44,0,0.63,0,0,11.3,0,60.22,0,28.07,495.52,9.7,7.69,4.07,0,1.14,10.19,0,0,0.79,0,8.75,159.72,0,0,28.51,0,0
 36-46,0,0,0,0,5.34,0.81,26.96,1.82,0,3.51,40.59,0.95,0,1.33,0,0,0,0,0,0,84.45,0,11.98,661.49,6.72,8.42,5.38,0,0,1.09,1.46,0,0.74,3.05,0,238.39,0,0,30.3,0,4.17
 48-58,0,0,0,0.4,5.65,0,45.31,0,0.46,0.9,77.8,0,0,3.89,0,0.76,0.41,0,0,0.88,63.69,1.16,8.74,783.18,6.15,2.81,0.91,0,0,0.41,0.98,0,1.21,0,0,226.04,0,1.28,5.63,0,0
 60-70,0,0,0,0,11.31,0.57,145.89,0,1.62,4.05,128.49,1.66,0,0,1.26,0,8.33,0.73,2.53,0,107.03,0.93,14.01,1340.68,1.73,9.7,2,0,0,1.9,0.85,0,0.89,0,0,258.24,0,1.22,4.22,0,7.95
 72-82,0,0,0.62,0,5.04,0,354.57,0,1.51,12.11,131.04,4.65,0,1.79,1.38,0.53,2.22,0.56,0,0,210.21,14.3,11.74,1647.42,0,20.58,12.61,0,0.59,5.24,0,0,1.55,0,0,216.87,0,8.54,25.89,6.5,2.33
 84-94,0,0,0,0,16.96,1.04,427.94,1.17,0.62,3.86,118.2,1.99,0,2.93,4.38,0,2.09,3.56,0,0,171.79,4.49,12.13,1333.17,2.32,32.14,16.73,0,0,4.15,0,0,5.31,0,0,161.65,0,6.28,14.26,0.89,11.65
 96-106,0,0,4.37,0,14.11,5.04,295.1,0,0,1.1,124.86,4.3,0,4.67,4.79,0.86,2.7,4.36,0,0,133.36,14.54,9.05,1131.25,2.8,25.95,8.32,0,1.47,13.47,0,0,0.69,0,0,81.99,6.07,1.24,22.41,2.83,1.06
108-118,0,0,0.75,0,19.29,2.33,403.98,0.55,0.48,4.75,158.94,13.37,0,2.89,3.34,0.44,5.24,0.7,11.59,2.38,194.47,5,8.61,1125.12,0,6.85,14.59,0,1.22,4.05,0,0,0.64,0,0,69.47,0,5.09,22.42,2.36,11.77
120,0,0,4.41,0,23.24,0,185.06,2.03,5.04,3.65,155.51,22.45,0,1.54,14.99,3.6,5.27,0,0,0,163.68,2.18,23.45,1594.83,1.28,5.22,31.53,0,0,1.39,0,0,0,0,0,52.65,2.31,4.12,36.62,0,0
