stage,blastomeres,endoderm,erythrocytes,eye,glial,hatching_gland,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord
  5-6,75.5,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.51,0,4.46,0,4.35,0,0,38.87,0,0,3.88,0,0
 10-12,0,0,0,3.65,0,0,0,0,3.53,0,0,3.76,0,0
 14-21,0,0,0,0,0,0,0,0,2.36,0,0,0,0,1.39
 24-34,0,0,0.62,0,0,0,0,0,1.85,0,2.91,0,0,0
 36-46,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0
 48-58,0,0,0,0,0.53,0,0,0,2.89,0,0.82,0,0,0
 60-70,0,0,0,0.58,0,0,0.57,1.51,0,0,0.95,0,0,0
 72-82,0,0,0,1.02,0,0,4.17,0,2.22,0.9,5.4,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.29,0,12.86,0,0,0
 96-106,0,0,0,0,0,0,0.94,0,0,0,12.5,0,0,0
108-118,0,0,0,0,0,0,1.99,0,3,0,13.4,0,0.43,0
120,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0
