stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.35,142.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0,0,0,0
  5-6,6.87,85.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.81,0,0,8.42,0,0,14.78,0,0,0,13.21,0,0,0,0,0,0,0,0,0,66.56,7.1,0,0,18.47,0,5.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.73,0,0,5.83,0,0,0,4.32,0,0,0,0,0,0,0,0,0,62.13,0,0,0,11.28,0,14.82,11.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0.96,0,0,0,0,2.2,0,0,0.86,0,0,0,0.81,0,0
 24-34,0,0,0,0.59,0,0,1.4,0,0,0,0,0,0,0,0,0,2.14,0.95,0,0.64,32.25,0,2.41,0.64,0,2.52,0,0,0,2.9,0,0,7.74,0,0
 36-46,0,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,4.59,0,0,0,88.38,0,0.68,0,0,2.45,0,0,0,7.43,0,0,9.56,0,0
 48-58,0,0,0,0,0.41,0,12.56,1.23,1.57,0,0,0.83,0.42,0,0,0,5.67,0,0,0.46,100.56,0,0,0,0,7.83,0,0,0,16.42,0,0,3.48,0,1.47
 60-70,0,0,1.32,0,0.9,0,41.99,0,2.67,0,0,0,2.44,0,0,0.8,2.73,0,0.7,0,97.08,0,0,0,0,4.9,0,0,0,7.35,0,0,3.61,0,0
 72-82,0,0,0.64,0,2.86,0,32,0,0,0,0,0,0.78,0.96,0,0.67,12.95,1.47,1.45,3.59,91.83,0,0.98,0,0,2.25,0,0,0,13.87,0,0,8.58,0,0
 84-94,0,0,0,0,10.71,0,17.63,0,1.49,3.85,0,0,4.82,0,0.75,0.78,14.64,4.78,0,0,32.35,0,0.97,0,0,7.6,0,0,0,14.21,1.86,0.98,7.12,0,0
 96-106,0,0,0,0,10.24,8.02,19.82,0,1.5,0,0,0.76,15.14,3.77,0,0,6.9,0.77,0,0,50.31,0,2.14,0,0,23.62,0,0,0,5,3.17,0,4.91,2.67,0
108-118,0,0,0,0,4.79,0,9.08,0,1.74,7.46,0,0,3.56,2.21,0,1.44,14.27,0.53,0,0,30.57,0,0,0,0,19.95,0,0,0,0,0,0,15.25,0,0
120,0,0,0,0,5,0,13.28,0,2.85,0,0,0,12.2,0,0,0,0,0,0,0,61.36,0,0,0,0,4.91,0,0,0,1.53,11.99,0,6.37,0,0
