stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,126.91,1329.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.67,0,0,0,0,0,0,0,0
  5-6,50.97,1233.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,235.06,0,0,0,0,0,0,0,0
  7-9,14.92,0,26.88,0,0,25.8,0,0,0,0,20.71,0,0,0,0,0,0,0,0,838.38,39.98,0,0,413.93,40.84,4.3,0,0,0,0,0,0,0
 10-12,0,4.72,18.69,0,5.97,9.54,0,0,0,0,0,0,0,0,0,0,0,0,3.87,255.7,56.28,0,0,104.17,7.62,0,4.36,6.28,0,6.57,0,0,0
 14-21,0,0,1.3,6.59,5.47,0.86,0,0,81.74,0.97,1.19,0,0,0,0,0,0.8,0,3.15,51.18,0,3.25,5.41,3.51,1.01,0,0.91,77.68,0.81,175.56,0,0,0
 24-34,0,0,0,2.26,0,1.67,0,0,91.24,0,3.76,0,0,0,0,0.66,7.95,0,1.33,54.05,1.49,32,3.91,0,12.11,0,0,104.03,3.08,182.7,0,0.91,4.02
 36-46,0,0,0,0,0,0.8,0,2.07,84.86,0,1.28,2.46,0,0,3.34,0,0,0,0,103.01,0,45.77,0.8,0,2.22,0,0,47.85,0,111.53,0,0,0
 48-58,0,0,0,0,0,19.31,0,0,87.47,0,0,1.61,0,0,1.1,0,3.34,0,0,55.99,0,45.71,9.86,0,0,0,0,9.37,0,128.09,0,0,2.96
 60-70,0,0,0,0,0,1.1,0,0.9,58.59,0,0,6.83,0,0,5.02,0,2.3,1.53,0,70.57,0,28.19,14.57,0,0,0,0,10.4,0,60.3,0,0,0
 72-82,0,0,0,0.82,0,4.51,0,0,79.17,0,0,1.15,0,0,3.39,0,3.45,0,0,62.92,0,37.78,10.2,0,5.84,0,0,4.75,0,24.4,1.01,0,0.5
 84-94,0,0,0.74,1.63,0,4.9,0,0.85,76.1,0.64,0,9.58,0,0,3.22,0,3.31,0,0,62.75,0,70.8,31.08,0,0.97,1.4,0,13.01,0,54.34,0,0,0
 96-106,0,0,1.43,1.19,0,10.44,0,0,62.5,0,0,6.86,0,0,12.4,0,0.73,0,0,12.29,0,84.1,31.1,0,4.13,0,0,4.12,0,49.87,1.22,0,0
108-118,0,0,2.03,1.23,0,2.49,0,0,43.87,0,0,12.52,0.44,5.25,6.19,0.46,0.69,0,0,36.01,0,58.53,24.79,0,1.07,0,0,12.22,0,35.66,0,0,0
120,0,0,0,1.21,0,33.35,2.08,0,25.71,1.66,0,1.19,0,0,11.49,0,17.5,0,0,80.06,0,73.17,54.38,0,0,0,0,1.56,0,41.69,0,0,0
